Florida Knows Best	23556646	77330897	175381	1065320
Nuestra Florida	17355000	44885168	136600	548768
Andrew Gillum	15812673	39772965	153005	655254
Bill Nelson	15078360	37614540	230384	946760
Rick Scott Is Not For Florida	12615000	30543586	166300	626486
Working For Us	11913999	41088921	180276	1071043
NextGen America	11349299	27645328	140936	612960
Ron DeSantis	8045022	19645915	108104	458282
Marsy's Law for Florida	7508000	16851935	206747	896153
Everybody Is For Amendment 2	6691033	17086738	55643	272245
MO Research	6166286	15968045	67724	288354
Choose Me Not 3	6156000	14127897	110400	448894
Rick Scott	5673344	14108690	71256	277155
Everytown for Florida	5041289	12237977	74026	323343
Voters In Charge	5006790	13561567	34821	158361
Floridians for a Fair Shake	4705175	12316458	74392	297914
Second Chances Florida	4377000	10644828	40573	177295
Florida Strong	4249987	9607928	53714	186564
Vote NO on 5	4141000	13929700	88900	454100
Republican Party of Florida	4120638	8706219	75391	301134
Ben & Jerry's	3480496	8603438	41579	176927
Our Lives Our Vote	3473847	9753939	32310	175142
Just Vote No On 13	3270000	7832900	26900	116300
Chris King	3235065	7619003	35245	154603
Matt Haggman for Congress	3169965	9263008	23441	115268
SEIU Florida	3079668	7359911	24820	92938
AFP Action	3003000	6885958	66857	212597
NumbersUSA	2431951	5033874	15745	50779
FloridaStrong	2334059	6192560	29083	111383
CalmEffect	2284943	5616629	20076	73502
For Our Future FL	2273960	5973505	40183	197317
Florida Conservation Voters	2227000	5100946	89300	272744
Denise Grimsley	2130763	6195632	28911	137127
Indivisible Guide	2060219	5791860	31553	168893
CFG Action	2032999	5497927	42462	154934
Solar Energy Today	2017870	5554504	34822	144484
Vote NO on 1	2005000	6388108	36400	244708
You Should Know Florida	1917998	5619827	43799	188435
bullsugar.org	1641703	4057453	9416	35619
Faith and Freedom Coalition	1550000	3299994	13232	51104
AARP Advocates	1540000	3299987	26828	75004
Mayor Philip Levine	1513208	3674069	11771	46748
ACLU of Florida	1448966	3324767	13235	57077
The Voter Participation Center	1427330	4682250	11617	178834
Latino Victory	1390529	3573615	11221	48865
Keith Perry	1371993	3446796	14387	59337
Boricua Vota	1361983	3217850	7230	27260
Alianza for Progress	1350989	3330930	9303	36429
Mary Barzee Flores for Congress	1329543	3580285	13705	77002
NRDC	1324352	3065758	13868	51341
It’s Our America	1304921	4895957	15528	144945
Andrew Learned for Congress	1278000	4635844	15975	76003
Florida Citizens	1240275	5935374	1933	160127
State Representative Manny Diaz Jr	1166369	2717183	8284	26297
No Casinos	1147000	3081902	12000	50302
Maria Elvira Salazar	1132992	2572921	14318	43401
Everglades-Trust	1128878	4869623	2800	24328
Alliance for Climate Education	1113000	2485241	11845	43420
Ted Yoho	1105426	2801736	9505	46232
The Center for Community Change Action	1102594	3148167	9961	60944
Jimmy Patronis	1064000	2522976	15906	47747
With Honor	1005489	2619997	14523	66265
Darren Soto for Congress	963000	2404974	5793	29472
Freedom Council USA	946000	2216989	12400	29189
Knock The Vote	924000	2525947	15194	58097
Concealed Online	912055	1995007	13102	52300
Sean Shaw	821934	2514549	19667	87163
Dream Defenders Action	809060	2274632	16450	65667
Donna Shalala for Congress	796335	2349269	7719	36061
Color Of Change PAC	793755	3188731	13104	68412
Fighting for Florida	784997	1780973	9671	30391
Joe Perkins for Circuit Judge Campaign Committee	775528	2494426	6270	34908
FLIC Votes	766704	2030468	5245	29770
Florida Planned Parenthood PAC	765000	2214965	14338	53970
Anna For Florida	759999	2802757	3740	39407
Brian Mast	759970	1953548	10346	43082
Carlos Curbelo	756977	2112925	10366	49895
Ray Chiaramonte for Hillsborough County Commission District 7	750998	2463918	14201	45270
Roy David Walker for Commissioner of Agriculture	742158	1945111	9597	39899
The Years Project	724861	1595399	575	4474
Priorities USA Action	724000	2724885	15174	87687
NRA - National Rifle Association of America	721464	1779834	3709	17775
FogHorn	717992	2342523	6397	36383
Strong Miami	709697	1645349	3674	15462
Captains for Clean Water	708844	1797582	5424	18304
Judson Sapp	705000	2199909	8800	33909
Matt Caldwell	677000	1619963	7300	29955
Likewise Media	674403	1898005	7591	36428
National Horizon Action	658876	1582221	9844	33138
OurStates	640128	2174497	5857	31512
Florida Federation for Children	618000	1367976	10938	44415
Florida Democratic Party	609549	1739790	15378	72632
Jan Schneider	607836	1640516	5430	38887
Congressman Darren Soto: Our Progressive Champion	584000	1758897	10400	51697
Bill Yanger For County Judge	576779	1515926	3294	14512
No Labels Action	550000	1449991	13246	51339
Yes For Marion Schools	549000	1588967	1800	9367
NRDC Action Fund	547824	1421890	9069	36378
Janet Cruz	544800	1369669	8838	41727
Florida Sunshine News	542682	1516322	13549	53906
