Senate Leadership Fund	545000	1663923	10244	42976
Tennessee Democratic Party	267000	719988	1300	5288
Phil Bredesen	65000	592667	715	33286
Tennessee Business Daily	55000	109998	600	1498
Marsha Blackburn	50000	100998	1000	5098
Eddie Smith for State Representative	30000	123992	400	2392
Kanew for Congress	29847	176185	354	4823
Jamie Ballinger for Tennessee Senate	24000	150860	0	4058
Concealed Online	21191	114158	233	2685
Dr. Danielle Mitchell for US Congress TN-3	20000	99998	200	998
Dennis Potvin	14223	57834	0	264
Gabby Salinas for TN Senate- District 31	11000	24997	0	297
Alliance For Tennessee Families	10000	50998	100	598
Smoky Mountain Values	10000	49999	100	499
Johnny C. Garrett for State Representative	10000	49999	100	499
Tennessee Senate Republican Caucus	10000	35993	100	1093
Kate Trudell for TN House District 16	6000	17995	0	495
Scott Cepicky for State Representative	6000	15997	0	372
State Representative Ryan Williams	6000	14998	0	198
MoveOn	5865	14499	56	384
The Southern Alliance for Clean Energy	5000	25825	50	592
Williamson County Republican Party	5000	10998	0	198
The Committee to Defend the President	5000	9999	100	499
Molder for Mayor	5000	9999	0	99
Kelly Northcutt for State Senate	5000	9999	0	99
Marty Olsen for Congress	4994	9987	0	98
Captains for Clean Water	3367	6735	18	44
Joda for TN House 30	2861	15299	0	378
Blue Ridge Wealth	2769	13844	92	643
Tennessee House Republicans	2000	9998	0	198
Cameron Sexton	2000	9998	0	198
League of Conservation Voters	1962	10402	35	326
Donald J. Trump	1562	41194	20	1946
Davidson County Democratic Black Caucus	1000	6997	0	297
Bob Freeman	1000	5998	100	598
Tennessee Campaign for Liberty	1000	4999	0	99
Pettus Read - Rutherford County Commissioner • 8th District	1000	4999	0	99
Keep Tennessee Republican	1000	4999	0	99
Friends for State Rep. Mike Sparks	1000	4999	100	499
Eric Sitler for Ward 1 Alderman	1000	4999	0	99
Barzizza for Mayor	1000	4999	0	99
ACT-ET Strong United	1000	4999	0	99
A Step Ahead Chattanooga	1000	4999	0	165
Rice Divorce Team - Dedicated to Solving Family Law Matters	971	4855	0	96
Paid For By Breton Phillips For US Senate	948	4737	0	93
Committee To Oppose Consolidation Montgomery County	892	4457	0	88
Bill Nelson	747	2032	15	67
Dan Forest	685	3425	2	47
4ocean	581	1162	2	9
Indivisible Guide	493	2563	5	51
Tom Steyer	403	2270	4	48
Stefanie Kingsley	337	1684	3	16
Turning Point USA	327	1633	0	14
45 Hats	307	1537	2	22
Penzeys Spices	307	1256	9	36
United States Constitution	298	1492	4	31
Students for Life of America	290	1449	2	15
League of Women Voters of the U.S.	269	1346	12	27
Build With Strength	240	1201	3	31
Environmental Voter Project	201	1007	1	12
The Devil We Know	198	988	0	2
Justin Brock	194	387	2	12
Dissent Pins	191	953	1	11
Swing Left	188	1189	2	36
National Republican Congressional Committee	183	1515	3	45
Judge Mims for Circuit Court	174	870	0	7
FreightWaves	173	347	0	2
VoteTogether	167	1394	0	22
Finance Watchdogs	153	838	0	24
Kirsten Gillibrand	147	735	3	25
Beto O'Rourke	145	579	2	12
JCRC of Greater Washington	104	207	1	7
Students For Liberty	101	202	0	0
David Ralston	96	195	2	10
DiversityInc	74	148	0	4
NC House Republicans	71	356	0	3
Independent Voter	68	346	0	4
Exclusive Apparel	62	432	0	26
Helena Chase Birdwell for Barren County Clerk	60	298	0	2
Nine Line Apparel	47	239	0	2
Congressional Leadership Fund	47	236	2	12
Janet Nguyen	46	228	1	4
Kansas Democratic Party	45	227	1	7
FreedomWorks	41	114	0	1
Veterans and Affordable Housing Act	40	79	0	2
Democratic Senatorial Campaign Committee (DSCC)	30	153	0	2
Chad Young State House District 3	30	152	0	5
Stand Up America	30	149	0	5
Your Energy	29	1232	0	61
Crisp and Associates Military Law	29	143	0	2
Military Officers Association of America (MOAA)	28	141	0	4
Greenpeace USA	27	201	0	10
Dallas Safari Club	27	135	0	1
Ryan Rebecca Taylor for Ohio	27	134	0	2
Fipple	26	148	0	5
Wealthysinglemommy	26	128	0	4
Korah Kids	25	127	0	2
Conservative Gear	25	123	1	2
Orvis	24	122	0	0
Goods Unite Us	24	119	0	2
