NC Conservation Network	5450992	12231898	63749	265169
Marsy's Law for North Carolina	4466000	10249932	73801	284305
North Carolina Citizens	3076927	13979048	16311	336130
NC Common Ground	2520368	5509848	74094	286580
Dan Forest	1821157	5728950	5460	39991
Carolina Leadership Coalition	1688072	3955639	16975	76028
Protect NC Waters	1657430	5148974	20362	96375
MO Research	1189061	2898523	13059	52342
Fair Courts Now	928809	4144443	14568	70790
Roy Cooper	880000	2658861	5800	37461
North Carolina Republican Council of State	870392	1803768	9693	38058
Jeff Jackson	854589	2710813	5071	30752
Auto Alliance	845000	2109990	3718	15486
Searcy for State Senate	765984	1883898	10172	47914
Kathy Manning	727970	2174873	12777	49205
Women For Civility	717190	1941848	13647	58167
Better With Age	688028	1601602	20275	70233
Concealed Online	681527	1637803	9832	43863
Blue Cross NC	537946	1625700	3933	19471
NumbersUSA	529927	1325510	3696	13898
FreedomWorks	521000	1214536	4938	19670
Progress NC Votes	501994	2089921	6720	29902
NC Homeowners Alliance	500000	1199997	3000	14997
Tea Party Nation	500000	999999	4923	13637
Michael Garrett for NC Senate 27	439000	1400970	6100	26770
Planned Parenthood Votes South Atlantic	438000	1502959	9509	44740
Natasha Marcus for NC Senate District 41	410988	1316881	4876	28452
The Holy Tribune	399935	935698	14880	45093
JD Wooten for NC Senate	389000	1533774	2931	22735
NextGen America	382036	1421286	4778	30557
Terri Legrand for NC House 2018	382000	1088607	5220	28778
Congressman Ted Budd	371995	1150941	5599	27552
Mack for NC	371746	1133667	5449	26895
Representative Mark Walker	358922	1564202	2678	61891
Graig Meyer	345000	936977	2940	12996
Southern Environmental Law Center	323660	1624708	2556	50914
North Carolina Association of Educators	320000	1599968	8000	21968
Ted Budd	283969	1193707	1686	21378
Representative Greg Murphy, MD	266904	980392	1955	12593
Keep Wayne Coats Sheriff	265000	810991	1200	6591
Military Network	263749	732840	6338	19335
Brian Turner - NC House 116	252854	746224	1715	8548
Heritage Action for America	244845	714544	1476	7079
Self-Reliant Republic	240963	755510	7552	24734
NC Senator Floyd B. McKissick Jr.	233443	877448	221	10209
Dan McCready for Congress	226517	718548	2574	12506
Sydney Batch	213000	735982	2300	7682
Rep. George Holding	200000	499999	1000	4999
Americans for Prosperity	196424	574888	3451	15495
Human Rights Campaign	191776	449241	1237	4429
Keep Them Accountable	175748	627049	2163	11008
Solar Energy Today	174510	550461	3012	14295
Judge Andrew Heath	170976	704767	1457	17464
Majority Matters	170000	401994	867	3367
Harper Peterson for NC Senate	164120	497582	455	3752
North Carolina Department of Transportation	160000	349997	1600	6497
North Carolina Values Coalition	158924	594587	1065	8142
Solar Rebate	156014	637999	2455	13965
Our Flag Our Country	155015	640962	3911	20122
Judge Sandra Ray for NC Court of Appeals	149000	414984	1900	8984
NRDC	147079	454542	1540	7616
Sierra Club	147047	331096	1314	4687
Harry Ennis	145000	529988	1100	4488
Melrose For Judge	140898	492707	921	7855
Coal Ash Rate Hikes	130000	653960	7100	20949
Jeff Tarte	128000	538968	1368	8049
Explore Offshore	125327	497373	844	5612
Wiley Nickel For North Carolina	121000	472828	600	8635
Sampson County Republican Party	116000	496972	254	3442
Elect Brian Bock - Chatham County Commissioner	113000	505974	800	5774
Living Free	111961	559793	2216	16026
Rachel's Action Network	110000	249998	280	959
Small Business & Entrepreneurship Council	109891	249747	1189	5034
Spectrum News North Carolina	108618	276826	977	4045
Diener Law Abogados	104000	539775	100	22675
Sarah Homes for District Court Judge	103000	502979	1322	6580
North Carolina Board Of Pharmacy	100000	199999	1000	4999
Ben & Jerry's	97527	195133	1166	4013
NEA Today	97191	347897	2092	11392
Tom Steyer	97018	207353	2218	7637
NC Speaker Tim Moore	97000	260980	300	3180
Jefferson Griffin	93000	413903	200	10403
Toby Hampson for Judge	93000	406984	800	4784
Keep Judge Thompson Superior Court Judge	92780	302874	199	3361
Steven Buccini for NC House	91673	380955	758	7799
David Rouzer	91514	403491	137	8709
Senator Michael Lee	90986	304926	852	3090
Donald J. Trump	88074	611631	923	15574
Carolina Clean Energy Group	85969	265840	316	2027
Southeastern Wind Coalition	83999	209988	599	3472
Don Davis	82000	443096	491	14465
Committee to Elect Brooke Schmidly	81000	404991	1200	4591
Conservatives for Clean Energy	81000	334970	986	6980
David Blackwelder Wake County	80000	336924	197	8445
Tracy Philbeck	79000	291983	188	2496
4ocean	78215	169069	1210	4467
Watts for Congress	77996	304825	437	5422
Elect Rebecca Edwards	75000	349982	700	4582
Mark Harris	74714	179424	1054	2491
Roy McDonald for Judge	74000	287969	200	3869
