Andrew Gillum	2044014	5167472	15396	62739
Just Vote No On 13	1584000	3620972	14700	67972
Working For Us	786999	4490443	6828	173546
NumbersUSA	701000	1504997	2077	7994
FloridaStrong	639993	1550968	8343	34447
Bill Nelson	391000	1383921	6100	28721
Florida House Victory	359992	903945	7978	33528
You Should Know Florida	314998	1319951	4199	18559
Marsy's Law for Florida	312000	784983	1900	9083
Knock The Vote	300000	719990	5825	21430
Priorities USA Action	295000	1252942	4502	26539
With Honor	258134	693811	3751	15554
Everybody Is For Amendment 2	249973	952700	1195	16384
The School District of Palm Beach County	235000	878976	1700	6976
CFG Action	199000	862969	2570	10083
Vote NO on 5	187000	956800	6600	39400
Color Of Change PAC	173000	670977	2590	9606
Florida Conservation Voters	150000	434988	2400	9488
Strong Miami	144355	288706	1924	9621
American Patriots PAC	98321	196641	983	1964
Rick Scott Is Not For Florida	80000	249996	800	2496
Jimmy Patronis	80000	249996	1600	3496
Joe Lopez for Orange County Sheriff	71000	204996	200	1196
Voters In Charge	63000	243980	400	3580
Keep Them Accountable	52999	210953	523	4068
ATTN:	50000	99999	100	499
Humane Society Legislative Fund	49180	98359	489	987
NextGen America	49092	220491	364	9440
Linda L. Gaustad for Judge	43000	214993	800	2793
Carlos Curbelo	36977	169948	440	2542
Committee To Support Greyhounds	35000	159996	350	1971
Fighting for Florida	34994	160967	399	2094
Ben & Jerry's	34147	135981	129	1346
Anna For Florida	31000	170971	88	3831
Sierra Club	29185	101166	232	1066
Ray Guillory For Escambia County School Board District 2	27876	94474	199	1566
Civiqs	25000	110996	458	2093
Allison Gilman For Judge	23955	107561	165	1190
New Florida Vision PAC	22000	109996	200	1196
Francis Rooney	21993	81949	810	2523
SEIU Florida	21959	97814	0	1310
Choose Me Not 3	21000	104997	600	1597
Alan Youngblood for Seminole County School Board - District 1	21000	104995	100	696
Susan Makowski for Orange County Commissioner District 4	21000	46993	100	1093
Collier County Democratic Party	20975	104870	147	929
Respeta Mi Gente	20000	99998	100	598
Lauren Baer for Congress	20000	69997	240	1396
PowerSol USA	19967	99832	521	4114
Tom Steyer	17000	100976	807	6672
Capt. Steve Friedman for Florida	16808	69214	382	1206
Vote for Vicki Campaign	16000	128944	100	5944
The Voter Participation Center	16000	44986	43	1910
Heath Rassner for Florida House 119	16000	39991	100	1291
Craig DeThomasis for Alachua County Judge	16000	36994	0	594
Half-Cent for Alachua Schools	15998	64992	0	223
Everglades-Trust	15878	34753	99	790
Anthony Sabatini for State House	15000	60997	200	1097
Shelia Arnett for School Board, District 5	15000	29997	100	697
iAmerica Action	14958	60846	0	296
NRCC IE	14760	108051	566	5638
Hispanic Federation	14000	85970	0	2970
Representative Margaret Good	12000	60996	100	796
Operation Sacred Trust	12000	29996	100	796
Timothy Yost for State Representative District 12, Jacksonville	11996	30985	92	855
Michael McAuliffe for Judge	11000	54998	0	198
Chris Latvala	11000	54998	200	998
Republican Party of Sarasota	11000	24997	52	265
Vern Buchanan	10999	54994	499	1097
Viviana Janer for Osceola	10000	53986	0	1386
Wayne Culver for Judge	10000	50998	100	598
Rick Roth	10000	49999	100	499
Quality Schools for the Future	10000	49999	500	999
Lisa N. Cane	10000	49999	100	499
Maxine Cheesman for Circuit Court Judge	10000	20997	100	697
The New Florida Majority	9927	49632	99	495
Change The Date	9493	47463	167	1323
Miami-Dade County Government	9472	47360	94	472
Wounded Warrior Project	9334	46667	93	465
Donald J. Trump	8369	54736	137	2143
Environmental Defense Fund	8354	18012	22	369
Matt Fleming for County Commission - District 4	8000	24996	0	396
Annisa Karim For Florida Senate	8000	24996	0	396
Shareblue Media	7116	20579	136	432
Teamsters	7000	24992	113	635
VoteTogether	6977	49135	33	970
4ocean	6295	18447	31	156
Rise Up Retail	6000	29994	36	417
Emma Collum for State House	6000	19993	0	693
News 13	6000	14998	0	198
Mel Martin for Florida Senate District 14	6000	14998	100	598
Lee Mangold for House District 28	6000	14998	0	237
Jeremy Matlow	6000	14998	0	198
Jennifer Sabin for Polk County School Board, District 5	6000	14998	0	198
BLU-PAC	6000	14998	100	598
Allegra Fung for County Court Judge, Group 4	6000	14998	0	198
Citizens Against Lawsuit Abuse	5000	35973	76	2732
We Built This	5000	26396	0	1146
State Representative Manny Diaz Jr	5000	24995	13	395
Project NOW	5000	10998	0	71
Marybel Reinoso Coleman for Circuit Court Judge	5000	10998	0	198
