Scott Walker	1300931	2904847	9299	39953
Republican Governors Association (RGA)	508000	1481925	8097	35976
Ron Kind	350000	799997	3000	14997
Concealed Online	321390	853613	3901	19257
Americans for Prosperity	320000	699995	3200	15995
Restoration PAC	135000	346987	2567	11688
Wisconsin Right to Life	117789	295172	681	1649
Tammy Baldwin	110000	287959	1100	7949
The Real Robyn Vining	100000	199998	2000	9998
Human Rights Campaign	80000	331969	1120	5659
Marsy's Law for Wisconsin	70975	327862	1072	4635
The Real Rob Grover	60000	149998	1100	5498
Our Lives Our Vote	56000	114997	658	2169
Associated Builders and Contractors of Wisconsin	50000	99999	500	999
Howard Marklein	30000	149997	300	1497
The Voter Participation Center	26409	121574	260	3541
Chris Rahlf for State Assembly	21000	45994	0	625
Gov Walker Stop ATC	15000	59998	200	998
Dennis4WI	15000	30996	0	396
Tranel for Assembly	11000	54998	100	598
Alliance for Climate Education	11000	54998	107	894
Vote Janel	10000	49999	100	499
DoSomething.org	10000	49999	0	112
Backcountry Hunters & Anglers	10000	49999	61	453
Alyson For Wisconsin	10000	49999	100	499
Dittrich for 38th Assembly District	10000	20997	100	697
Democratic Party of Green County	9995	49974	99	585
Majestic Madison	9783	48915	97	488
Plea for a change, the Michael Bell shooting	8559	42794	85	427
Emily Siegrist for Wisconsin	8000	24996	0	396
Voto Latino	7000	30986	30	507
The Nature Conservancy in Wisconsin	6000	14998	0	198
Liz for Wisconsin	6000	14998	100	598
Niemeier for Trempealeau County District Attorney	5000	10998	0	198
Wisconsin for Public Lands	5000	9999	0	99
Pat Snyder for the 85th Assembly	5000	9999	0	99
Kim Butler for WI Assembly 28	4862	12611	0	166
Instagram	4464	8928	572	1976
Gae Magnafici for WI Assembly District 28	3593	7185	71	358
Tony Evers	2844	10907	88	496
Planned Parenthood Action	2678	14375	46	484
4ocean	2178	6260	13	56
National Republican Congressional Committee	2155	4844	42	158
YES for Oak Creek Schools	2000	9998	0	198
Jim Ott for Assembly	2000	9998	0	198
Charlie Warner for Assembly	2000	9998	0	198
Amy Loudenbeck for Assembly	1891	9455	0	187
Nick Hyde for State Representative- 89th District	1762	8808	13	107
PragerU	1673	3959	10	43
Civiqs	1646	4337	23	81
Tactical Pro Supply	1583	3515	5	22
Donald J. Trump	1462	13385	23	378
Local Majority	1189	6074	11	85
Federal Voting Assistance Program - FVAP	1065	2613	1	8
Senate Majority PAC	1016	2768	40	155
Tom Palzewicz for Congress	1000	6997	0	297
Travis Hartwig for Wisconsin State Treasurer	1000	5998	0	198
Plumer for Assembly	1000	5998	0	198
David Gorski for the 72nd Assembly District	1000	5998	0	198
Wisconsin Institute for Law & Liberty	1000	4999	0	99
Wisconsin Alliance for Women's Health	1000	4999	0	99
Wirth4Mequon	1000	4999	0	99
Waukesha County Democratic Party	1000	4999	0	99
Treig E. Pronschinske For 92nd Assembly District	1000	4999	0	99
Tosans for Responsible Government	1000	4999	0	99
Rod Dicus for Dunn County Sheriff	1000	4999	0	99
Robyn For Wisconsin	1000	4999	0	99
Maggie's List	1000	4999	0	121
Kevin Booth	1000	4999	0	99
Josh Kaul	1000	4999	0	99
Focus on Marshfield	1000	4999	0	99
Democratic Party of Rock County	1000	4999	0	99
David Zoerner for Kenosha County Sheriff	1000	4999	0	99
Elizabeth Warren	961	3903	11	117
Penzeys Spices	756	3017	15	105
Ed McBroom for State Senate	599	2526	3	30
Military Network	472	944	5	23
The Nature Conservancy	355	1778	9	44
Farmworker Justice	348	1740	0	34
Your Trump Shop	347	1736	2	16
Ignite National	285	1425	0	2
Claire McCaskill	279	948	8	50
I Love You, America	278	1390	2	29
Penguin Kids	278	1144	2	12
Kamala Harris	277	7454	2	522
League of Women Voters of the U.S.	274	593	12	24
Heidi Heitkamp	265	1355	7	66
Lisa Ring for Congress	261	523	1	6
United States Constitution	240	1212	2	15
Tim Walz for Governor	240	1198	2	13
ACLU	229	975	1	13
Nine Line Apparel	227	1136	1	12
Tax March	217	1085	2	18
Chuck Schumer D-NY	216	1078	10	59
Winning For Women	186	1318	6	78
The Atlas Society	185	923	0	9
45th President Donald J. Trump	177	885	1	14
Oceana	172	1272	1	76
Exclusive Apparel	167	833	2	14
American AF	156	371	1	3
