Self-Reliant Republic	199999	0
Terry Hayes for Governor	349958	0
Stop The Scam Maine	99999	4999
Our Next America	73502	0
Maine Matters	167992	2392
Jared Golden for Congress	164942	0
Janet Mills	143982	0
Beacon	104997	297
Angus King	122869	0
Our Flag Our Country	99998	0
Living Free	99989	0
Yes on 1 - Mainers for Home Care	75974	2574
Re-Elect Ben Chipman for State Senate	64997	1097
Crystal Canney for Senate District 27 - Portland	34995	495
Maine Republican Party	82742	0
Shawn Moody	53197	0
Troy Jackson	49999	499
Jeff Timberlake for Maine Senate	49999	499
Brad Farrin for Senate	49999	499
Susan Deschambault for Senate District 32	14998	598
Kim Rosen for Maine	24995	495
David Nealley for Bangor City Council	12996	796
Terri Jane Casavant for Maine State House	9999	99
Matt Pouliot	9999	99
Jennie Butler for Maine House District 25	9999	99
Ellie Espling for Maine Senate	9999	99
Tom Steyer	5717	0
Senator Amy Volk	9998	198
NRCC IE	9998	0
Jason Putnam for Maine House District 87	9998	198
AARP Maine	9998	198
Emerge Maine	5779	0
Joshua Hiatt for District 126	6997	297
Derek	5998	198
Seth Berry for Legislature	4999	99
Planned Parenthood Maine Action Fund	4999	99
Michael Brennan for Maine House District 36	4999	99
Maine Family Planning	4999	99
Maine Audubon	4999	99
Jeremy Mele For State Representative	4999	99
Frederick -“Eric”- Samp for House District 14	4999	99
Winning For Women	11141	0
Catholics for Choice	519	0
Donald J. Trump	4466	0
Kirsten Gillibrand	892	0
Heifer International	768	0
Democratic Senatorial Campaign Committee (DSCC)	563	0
Population Connection	491	0
Chris Meier for New Hampshire Senate District 3 -Carroll County	481	0
Angie Craig	473	0
Heidi Heitkamp	429	0
Concealed Online	485	0
Penzeys Spices	421	0
Independent Voter	1414	0
Goods Unite Us	355	0
Circa	180	0
United States Constitution	202	0
Bill Nelson	197	0
John Catsimatidis	262	0
Wolf-PAC	261	0
4ocean	250	0
Swing Left	252	0
Jay Inslee	87	0
Silkies	205	0
Energy Citizens	103	0
Proud Right Winger	74	0
Parks Project	179	0
The Atlas Society	72	0
Defending Donald	71	0
America with Eric Bolling	174	0
NARAL Pro-Choice America	68	0
Planned Parenthood Action	98	0
We The People Holsters	36	0
Sand Cloud	84	0
Savory Institute	83	0
Senator Paul Feeney	75	0
EMILY's List	197	0
Center for Western Priorities	60	0
Wayne County Indivisible Public Page	54	0
Representative Kate D. Campanale	23	0
Concerned Citizen	23	0
Working Families Party	94	0
MJ for Texas	51	0
The National Memo	44	0
Phil Bredesen	85	0
Vote Tony Thompson for Bullitt County Judge Executive	42	0
Exclusive Apparel	59	0
Stand Up America	37	0
Ho'ola Na Pua	36	0
Power In Cooperation	34	0
Craig Christiansen for State Representative	13	0
Pfizer	38	0
CREDO Mobile	32	0
Beto O'Rourke	32	0
VoteTogether	31	0
Philly Women Rally, Inc.	29	0
Nine Line Apparel	28	0
Ocean Conservancy	1722	0
Greenpeace USA	60	0
Finance Watchdogs	27	0
Best Medicare Plans	27	0
Save the Children Action Network	26	0
Rep. Steve Ross	26	0
Watson Institute for International and Public Affairs	25	0
I Love My Freedom	25	0
AARP Member Benefits	25	0
Shield Republic	24	0
PrintedKicks	22	0
America Fighting Back PAC	22	0
Human Coalition	21	0
Science for Humans and Freedom Institute	22	0
Show Up 2018	17	0
FrackFeed	17	0
Marla Livengood for Congress	5	0
Democrats	56	0
Kraut for CT.	12	0
Edwards for New Hampshire	12	0
Ric Vandett for NC Senate	11	0
Republican Party of Maricopa County	10	0
American AF	10	0
Tom Palzewicz for Congress	9	0
Partnership for Oregon Communities	6	0
War On Our Future	4	0
SEIU Local 503	4	0
Mary Jane Caylor for City Council	4	0
Jay Gonzalez	4	0
Sharen Wilson	3	0
Human Rights Campaign	3	0
Democratic Party	11447	0
National Republican Congressional Committee	8114	0
Lachance for Lewiston	3996	396
Chris Pappas for Congress	2154	0
Stacey Guerin for Senate	1998	198
Jon Torsch for Portland City Council, District 2	1998	198
Bonnie L Young	1998	198
Michael McKinney For Maine State Senate	999	99
Mercy For Animals	999	0
Matt Irwin for Aroostook County Sheriff	999	99
Joey Brunelle for Portland	999	99
Concerned Taxpayers of Scarborough, Maine	999	99
Bruce White Candidate for Maine House of Representatives, District 109	999	99
Amy Glidden	999	99
Amy B. Arata for Maine House	999	99
Future Now USA	482	0
Ivory Ella	250	0
Nathan Morin for Register of Deeds	243	0
I Vote Because	177	0
MoveOn	157	0
Conversations with Bill Kristol	111	0
Askov Finlayson	88	0
United Way of Greater New Haven	77	0
Politicon	75	0
National Domestic Workers Alliance	64	0
Civiqs	62	0
Mercy Corps	39	0
National Network of Abortion Funds	31	0
Rainforest Action Network	30	0
Kyrsten Sinema	29	0
Environmental Defense Fund	28	0
American Jewish World Service - AJWS	23	0
The Black Conservative Post	20	0
Everytown for Gun Safety	19	0
Elizabeth Warren	19	0
Straight Twist - Animal Welfare	18	0
ADL - Anti-Defamation League	16	0
Resist Trump's agenda	14	0
PETA (People for the Ethical Treatment of Animals)	13	0
Sivoli For Senate	11	0
Novin2018	11	0
Brady PAC	11	0
Andy Biggs	9	0
Joe Kennedy III	8	0
Definition.org	7	0
Planned Parenthood	6	0
DiversityInc	6	0
Chad McEvoy for NY Assembly 101	6	0
West Whiteland Democrats	4	0
USA for UNHCR	4	0
Turning Point USA	4	0
TrustedBest	4	0
Dana Balter for Congress	4	0
CARE	4	0
Giving Brush	3	0
Voters - Not Politicians	2	0
Animal Matters	2	0
45th President Donald J. Trump	2	0
Shareable	1	0
