JB Pritzker	16432951	39763878	519736	2047313
Rauner Failed Me	12776000	28904867	368600	1519155
Bruce Rauner	7194000	20068323	74094	325588
Fight Back	4046000	9354950	36118	150376
Treasurer Michael Frerichs	3753979	10195359	37409	178758
Illinois Working Together	3660000	8299969	24200	89419
Kwame Raoul	1435000	3180983	28800	129283
Rodney Davis	1275000	3438940	12884	46758
Illinois Education Association	1269911	3134500	8761	26586
Illinois Republican Party	1072000	2363972	10799	42178
Peter Roskam	969000	2550837	17343	65862
Julie Morrison for State Senate	968979	2185933	9361	30394
A Better Illinois	960000	2189964	17700	84564
Erika Harold	848547	2177046	4608	18317
LCV Victory Fund	841973	2011167	15365	54783
Juliana Stratton	810000	1899985	12500	41485
MO Research	801938	1776285	8807	32076
David McSweeney	757000	1759982	4083	18478
The Forum Page of Illinois	712999	1614977	5410	17606
Monica Bristow	697982	2153892	14270	62398
Sean Casten for Congress	689977	2584672	4336	35992
Congressional Leadership Fund	673897	2433731	14180	76144
Illinois Policy	643000	1836957	2701	14023
Willie Wilson	616971	1397744	2380	6421
Tom Cullerton for State Senate	591000	1511975	3949	21290
Gregg Johnson for State Senate	533000	1409963	8800	40035
Lauren Underwood for Congress	487130	2256279	7105	70988
US99 / Chicago's Hottest Country	474960	1010911	299	2288
Rachelle Aud Crowe for Senate	472682	1456279	8594	25183
IL-14 Get the Facts	448900	1487426	8803	42404
Fed of American Hospitals	446988	1212920	11888	36376
Women For Civility	440132	1071617	8375	32100
The Coalition for a Better Illinois 6th	439981	1382921	3162	17615
Mike Bost	438482	1457957	4148	25864
Laura Ellman For Senate	377981	1132858	11668	39385
Auto Alliance	375000	909994	1650	6678
Dorothy Brown for Mayor	372735	1621497	345	14608
Judge Linda Davenport for Circuit Court	359000	1310904	1240	12756
Sheriff Brian Asbell	335000	833980	1694	8627
Raja Krishnamoorthi - Congressman, IL-8	325999	915903	4785	27754
Republican State Leadership Committee	325673	713355	4360	15909
Keep Them Accountable	318988	1294819	3926	22731
Jim Dodge for IL Treasurer 2018	315000	869980	1962	9895
Committee to Elect Luke Thomas Cass County Circuit Judge	314921	1061653	846	13740
Adam Kinzinger	314251	883096	2779	14389
Tyler R. Edmonds	308486	1186619	1362	10594
Chicago Teachers Union	302000	609994	3000	12194
Dwight Kay for State Representative	300000	599997	3000	14997
Barrett Davie for Illinois Senate	282813	888942	4293	24338
Gus for the 47th Ward	282000	1131929	700	9829
Thomas For First	270995	714953	2299	11078
Solar Energy Today	269309	855928	4648	22229
Illinois Family Institute	268936	1060840	1512	8222
Pfizer	266165	720058	9539	33151
Save Your Home Now	254790	1239883	6112	18545
Lady Parts Justice League	251907	659526	2728	11628
UAW International Union	251760	660034	4844	19630
Ald. Edward M. Burke	245000	996933	350	7801
Dillon Clark for State Representative	245000	889907	476	11224
Planned Parenthood Illinois Action	244251	1051845	1535	15110
FreedomWorks	243605	557825	2309	9034
Raja for Congress	234000	722982	4200	13982
Brendan Kelly for Congress	220000	763944	5938	25115
Mike Unes	214976	851921	1060	7814
Stand Up for School Bus Safety	214218	889280	2635	16539
Ja'Mal Green	213606	772973	116	5754
A Simple Question	208186	458904	1306	4736
Seth McMillan for State Senate	206000	701971	1089	6279
Jerry Costello II for State Representative	205457	521660	2213	11239
Troy For Chicago	201997	557917	548	8419
Citizens for Jesse White	193000	758967	362	4557
Solar Rebate	188003	748978	2958	16395
Planned Parenthood	186033	430517	1925	7588
Elect John Curtis	185000	812938	800	9338
OSF HealthCare	183109	857170	881	6642
James G. Leslie For State Rep.	183000	725962	2358	12976
Sarah Smith for Circuit Judge	182826	476950	445	5153
Justin Hanson for Congress	181236	523287	537	4933
America First Policies	180538	544659	3012	15085
Human Rights Campaign	164598	722744	1062	7125
Small Business & Entrepreneurship Council	159751	351419	1729	7084
Concealed Online	158522	415525	2287	11128
Upstream Ideas	156998	562971	1974	7512
Andrew Chesney for State Representative- 89th District	156836	640257	685	9502
Jitendra Diganvker for Congress	154982	597891	1408	6439
Kash Jackson for Governor	151568	607104	183	12882
Liberty Justice Center	148887	387421	1230	6052
ExxonMobil	142677	394872	5840	19479
Andy Manar	138357	393638	1100	5863
Mark Batinick for State Representative	135847	334686	1279	6954
St. Clair County IL Democrats	135000	661984	4100	10284
Rise Up Retail	130038	350186	1259	4562
Illinois Farm Bureau	124999	445978	439	2562
Better With Age	121343	442711	3575	19413
Betsy Dirksen Londrigan	121000	304995	1100	2695
Humane Society Legislative Fund	119810	300483	1922	8176
Julie Cho	118000	527950	1100	9350
Congressman Randy Hultgren	109895	249766	1146	5761
Randy Hultgren	107891	467526	1890	9949
Neighbors for a Better Lakeview	104000	384977	1204	5666
