Patients For Affordable Drugs Action	150000	300997	2918	8875
Ken Simpler for Delaware	34901	161497	261	1777
Civiqs	29000	131991	422	2485
Lisa Blunt Rochester	25000	121985	200	2285
Rob Arlett For US Senate	10914	54569	99	593
James Spadola for State Auditor	6000	15997	0	297
Stephanie Barry	5000	9999	0	99
WITN22Wilm	4000	21994	0	594
Solar Energy Today	2000	9998	39	215
Krista Griffith For Delaware	1998	9989	0	197
Heidi Heitkamp	1734	3473	49	169
I Love You, America	1217	2433	12	52
Anton Andrew for State Representative	1157	5784	9	83
Paradee For State Senate	1000	5998	0	198
Delaware House Democrats	1000	4999	0	99
Delaware House Democratic Campaign Committee	1000	4999	0	99
American Action News	676	1690	3	16
Progress News Network	589	1472	3	21
CHI St. Joseph Children's Health	543	2712	5	32
Democrats	531	1328	14	38
Donald J. Trump	393	3175	6	89
The Leadership Conference on Civil and Human Rights	267	693	6	18
Center for Biological Diversity	231	462	1	4
NewsBusters.org	160	320	0	1
Penzeys Spices	155	309	3	10
Military Officers Association of America (MOAA)	128	259	2	7
ACLU	125	306	0	4
Charlie Kirk	125	249	0	0
Maria Weekes For Judge	124	607	0	4
Neighbors For Crebilly	93	465	0	9
Andy Kim for Congress	65	326	0	7
The Nature Conservancy	57	285	1	7
Anna Caballero for Senate	54	109	0	0
Klean Kanteen	49	1889	0	114
Dissent Pins	44	219	0	4
Beto O'Rourke	39	151	0	3
Penn Law Palestine Solidarity	38	190	0	3
UltimateStraw	38	75	0	3
End Citizens United	33	166	0	4
Claire McCaskill	31	157	0	8
American AF	30	157	0	1
Goods Unite Us	30	150	0	2
Elizabeth Warren	29	89	0	2
Republicans for the Rule of Law	27	134	0	2
E. O. Wilson Biodiversity Foundation	27	54	0	0
Tom Steyer	25	130	1	8
National Domestic Workers Alliance	25	127	0	2
PragerU	23	45	0	0
United States Constitution	22	110	0	1
Support Our Firefighters PAC	22	45	0	0
Kamala Harris	21	2560	0	179
American Bird Conservancy	21	105	0	0
National Republican Congressional Committee	20	185	0	6
Oxfam	20	102	0	2
Circa	18	35	0	0
League of Women Voters of the U.S.	16	33	0	1
Upworthy	16	32	0	0
Concealed Online	15	113	0	2
Philly Women Rally, Inc.	14	72	0	1
Facing History and Ourselves	14	28	0	0
O'Brien Zuckerman 2021	13	26	0	0
National Network of Abortion Funds	11	137	0	12
International Animal Rescue	11	55	0	0
World Wildlife Fund	11	23	0	0
Pennsylvania State Treasurer Joe Torsella	11	22	0	0
Corazon Coqui	11	22	0	1
Your Trump Shop	11	21	0	0
Jewish Voice Ministries International	9	28	0	0
UnidosUS	9	17	0	0
dittymoji	8	40	0	0
Pfizer	8	39	0	1
Stand Up America	7	61	0	2
Kirsten Gillibrand	7	56	0	2
Progress NC Votes	7	33	0	0
Chris Murphy	6	40	0	1
Anthony Bonna	6	30	0	0
ThoughtFull	6	28	0	2
Finance Watchdogs	5	39	0	0
Everytown for Gun Safety	5	25	0	1
Senate Majority PAC	5	24	0	1
How about dont build the wall?	5	24	0	0
Shop Styze	5	23	0	0
McCauley For Congress	5	23	0	0
Howstuffworks	5	23	0	0
Planned Parenthood	4	42	0	0
USA for UNHCR	4	24	0	0
Ocean Helper	4	21	0	1
National Park Foundation	4	20	0	0
Washington Senate Democratic Campaign	4	19	0	0
Turning Point USA	4	19	0	0
Stephanie Murphy for Congress	4	19	0	1
SpeakEasy Political	4	18	0	0
Left AF	4	9	0	0
Mayor Matt Hall	4	7	0	0
MoveOn	3	65	0	2
National Democratic Redistricting Committee	3	29	0	1
CARE	3	29	0	1
Paul Davis	3	16	0	0
Time To Vote On Climate	3	15	0	1
Liberty Nation	3	14	0	0
