Protect Arizona Taxpayers	2645904	0
Arizona Democratic Legislative Campaign Committee	3913638	0
Working For Us	2527938	0
Human Rights Campaign	559992	0
YES on 127: Clean Energy for a Healthy Arizona	649996	6996
Our Lives Our Vote	401996	0
Winning For Women	1300338	0
Pierce for AZ Mine Inspector	414993	0
Arizonans 4 Affordable Electricity	530988	0
Save Our Schools Arizona	676957	10857
Stanton for Arizona	299997	1497
The Wilderness Society	199999	0
Domingo DeGrazia for Arizona House	334988	1988
Kyrsten Sinema	334566	0
Stand for Children - Arizona	284990	5190
Steve Ferrara	154997	1597
Kathy Hoffman	115996	5696
Ducey for Governor	124990	0
Harris for Arizona Senate	104371	0
Martha McSally	99999	4999
Valerie Harris for AZ State House LD22	265900	0
Arizona Truth Squad	215977	0
Just Fix Our Roads 2018- Prop 463	208697	0
Kurland for Arizona House 23	104992	2792
Andy Biggs	154992	0
DefendArizona	132937	11137
Ralph Atchue for AZ Senate LD11	118982	0
Ed Gogek for State Representative	109996	1196
Gilbert Romero for State Representative	104997	697
Crawford for Scottsdale	74996	1596
Kelli Butler for Arizona	99998	998
Lea Marquez Peterson for Congress	64997	697
960 The Patriot	34996	396
Solange for Scottsdale City Council	59998	0
Kevin Walsh for Kyrene School Board	82969	0
Politicon	71589	0
Solar Energy Today	30995	0
Lynsey Robinson 4 House LD12	55997	697
Kate Brophy McGee - State Senate	28877	0
Indivisible Guide	29720	0
Jennifer Pawlik	70958	4158
T.J. Shope	51997	0
Mark Yarbrough for Mesa District 3	50998	598
No Labels Action	49999	4999
Daria Lohman for Arizona	49999	499
Arizona Senate Victory PAC	49999	4999
You Should Know Arizona	25991	1691
Pereira for Wickenburg	15997	297
David Schapira for Superintendent	14998	598
Yes On 418	9999	99
Jenny Richardson Mesa School Board	22993	693
Shawnna Bolick	17994	994
Military Network	15996	0
Living Free	14997	0
Kolby Granville	14997	297
Progressive Turnout Project	4256	0
Fix Politics Now	27980	0
David Garcia	13994	594
Citizens for Transportation Solutions	12995	495
Clodfelter for Arizona	11996	396
Kirsten Engel	10997	297
ClearPath Action Fund	10997	0
Tom O'Halleran	9998	0
Save the Dells	9998	198
Katie for Phoenix Union	9998	198
Donald J. Trump	29084	0
Groundswell Movement	5992	0
Center for Arizona Policy Action	28975	2475
Councilman Jeremy Whittaker	9994	594
Sharon Girard for AZ Senate LD8	6997	297
The Republican Party of Chandler, Sun Lakes & Gilbert	5998	198
Syms for Arizona	5998	198
Integrity First PAC	5998	0
Alexis Hermosillo for Mayor of El Mirage	5998	0
VoteLeone.Org	4999	99
Suzy Tubbs Payson Town Council	4999	99
Heather Macre 4 CAWCD	4999	0
Dr. Randy Friese	4999	99
Dr. Kathy Mohr-Almeida	4999	99
Brian Garcia for Tempe Union	4999	99
Arizona State Representative Regina E. Cobb, DDS	4999	0
Maggie's List	4995	0
Beto O'Rourke	1881	0
Judicial Watch	1615	0
United States Constitution	3320	0
4ocean	1213	0
Concealed Online	2051	0
Independent Voter	1425	0
League of Conservation Voters	1250	0
MI Senate Republican Campaign Committee	972	0
Mi Familia Vota	1303	0
Democratic Senatorial Campaign Committee (DSCC)	1603	0
Democrats	2046	0
ReBuild USA	1729	0
Tammy Duckworth	1045	0
Alexander Street	916	0
I Love My Freedom	890	0
Penzeys Spices	883	0
Point Source Youth	761	0
Swing Left	760	0
PresidentTrump.com	753	0
Good Jobs Nation	718	0
Bill Nelson	575	0
FreightWaves	694	0
Color Of Change	689	0
Stars and Stripes Forever PAC	670	0
The Ruderman Family Foundation	639	0
45th President Donald J. Trump	166	0
FrackFeed	155	0
Goods Unite Us	201	0
Re-Elect Ballweg for Mesquite City Council	144	0
MJ for Texas	350	0
Congressional Leadership Fund	234	0
Association of American Railroads	116	0
Nathan Fletcher for County Supervisor 2018	266	0
Kirsten Gillibrand	263	0
Larry Hogan	105	0
Giving Brush	116	0
Sand Cloud	231	0
VoteTogether	889	0
Judge Emil Kiehne for New Mexico Court of Appeals	216	0
EZ.Insure Medicare	80	0
Rugged Roots	177	0
Reunify Families Now	150	0
Will County Gazette	148	0
OAF Nation	136	0
Mike Kelly for Congress	135	0
California Republican Party	135	0
Partnership for Oregon Communities	48	0
Ocean Conservancy	758	0
Resistance School	116	0
Capital Research Center	104	0
Say No to impeachment	99	0
Bird + Stone	99	0
Define American	88	0
Anne Stava-Murray for State Rep	36	0
National Republican Congressional Committee	1169	0
Exclusive Apparel	373	0
America Fighting Back PAC	77	0
Making Every Vote Count	90	0
Nick Josefowitz for Supervisor, San Francisco, District 2	61	0
FreedomWorks	58	0
Armed American Supply	58	0
Shield Republic	101	0
Facing History and Ourselves	38	0
Anthony Bonna	37	0
Best Medicare Plans	36	0
CFT - California Federation of Teachers	32	0
Stephanie Murphy for Congress	29	0
DD Adams for Congress	13	0
Annie Black for Mesquite City Council	29	0
Voters - Not Politicians	26	0
DuPage Policy Journal	25	0
Alliance for a Better Minnesota	519	0
Dave Yost	23	0
Vote Donna Lasinski	21	0
Dr. Donna Campbell	21	0
New Yorkers Together	9	0
Self-Reliant Republic	11	0
Elect Carolyn Long	8	0
Shireen for Congress	108	0
AFSCME Council 31	7	0
Make HIM Great	5	0
Todd Greeson for Circuit Clerk	3	0
Ken King	3	0
Heritage Action for America	3	0
Democratic Party	34111	0
Brill for Congress	26945	0
Coconino County Democratic Party	7992	792
MoveOn	6018	0
Marie Sullivan for Maricopa Community Colleges - District 3	4995	495
Jake Brown for Mesa	3996	0
Kiana Maria Sears	3966	0
No DDC	2997	297
Modern Medicaid Alliance	2997	0
World Animal Protection USA	1998	0
Jeff Fine for Superior Court Clerk	1998	198
Arizona Democrats of Legislative District 18	1998	198
Unite America	1897	0
Heifer International	1343	0
Dana Balter for Congress	1249	0
Framed Tweets	1166	0
Future Now USA	1152	0
Jon Tester	1033	0
Verl Farnsworth for Mesa City Council	999	99
The Molina Law Group PLLC	999	99
Silkies	999	0
Sean Bowie	999	99
Ryan Winkle	999	99
Raquel Terán for Arizona House of Representatives	999	99
MedicareSupplement.com	999	0
LDS Dems	999	0
KGUN 9 On Your Side	999	99
Elect Knecht for AZ Senate	999	0
Dan Carroll for Neighbors	999	99
City of Tempe Government	999	99
Tom Steyer	893	0
Priorities USA Action	833	0
Jill Norgaard for AZ House	830	0
Askov Finlayson	688	0
Environmental Defense Fund	596	0
Gavin Newsom	538	0
X Straws	500	0
Tactical Pro Supply	500	0
PragerU	500	0
Ivory Ella	500	0
Be Conscious. Be Kind.	500	0
Mercy For Animals	450	0
WhyHunger	333	0
Greenpeace USA	294	0
Ro Khanna	254	0
Chris Pappas for Congress	190	0
Marsha Holland	178	0
Blue Wave	177	0
National Domestic Workers Alliance	173	0
Justice Democrats	123	0
EMILY's List	107	0
LGBTQ Victory Fund	100	0
National Network of Abortion Funds	79	0
Oceana	77	0
Fight the New Drug	72	0
Power In Cooperation	68	0
Stand Up America	67	0
Science for Humans and Freedom Institute	66	0
No Kid Hungry	63	0
Chris Murphy	63	0
Save the Redwoods League	62	0
Pocket Your Dollars	62	0
Claire McCaskill	59	0
Fipple	54	0
Planned Parenthood Action	53	0
Phil Bredesen	53	0
Patriot Depot	49	0
Pi Yoga Pants	46	0
E. O. Wilson Biodiversity Foundation	42	0
Joe Kennedy III	41	0
NRSC	36	0
Katica Roy	33	0
Save the Children Action Network	31	0
Conservative Mama PhD	30	0
ADL - Anti-Defamation League	30	0
Planned Parenthood Advocates of Michigan	29	0
PCCC - BoldProgressives.org	27	0
Nine Line Apparel	27	0
America with Eric Bolling	27	0
Elizabeth Warren	26	0
Brady PAC	26	0
Diane Mitsch Bush for Colorado CD3	24	0
Finance Watchdogs	23	0
Human Coalition	22	0
CARE	22	0
Working Families Party	21	0
SCAR	21	0
Turning Point USA	18	0
Time To Vote On Climate	16	0
Progressive Takeover	16	0
LCV Victory Fund	16	0
Jose Oropeza For Fremont City Council	15	0
Auburn Seminary	15	0
The Longshore Institute	13	0
Lupe Valdez	13	0
Sarah Smith for US Congress	11	0
Alyse Galvin for Congress	10	0
Public Safety for a Safer Santa Clara supporting John Hirokawa for Sheriff	7	0
Angie Craig	7	0
Tammy Baldwin	6	0
Kristi Noem	6	0
Voters Decide	5	0
Teri for Mayor	5	0
Jena Griswold for Colorado	5	0
Protect CA Health Care	4	0
Kentucky People's PAC	4	0
The Muslims Are Coming	3	0
Sam Edney	3	0
Rep. Peter Breen	3	0
Josh Harder	3	0
