Levi's	108636	271590	942	2945
I Love You, America	48196	96391	763	2828
4ocean	28849	72122	446	1905
Collin Peterson	22386	55964	154	827
People United for Privacy	19800	39599	219	1153
No On Prop 10 - Stop the Housing Freeze	18505	37009	1742	3824
No on 103	17449	34898	245	806
The Wilderness Society	15900	31800	183	561
Tony Evers	13220	26439	285	925
Yes on Measure V, Vote Affordable San Jose	13103	32756	227	760
FreedomWorks	10814	21627	102	350
American Tort Reform Association	6836	13671	30	92
Voters - Not Politicians	6282	15704	91	371
Minnesota 4 Us	6112	12224	57	165
Kern County Firefighters, IAFF Local 1301	5896	11791	11	58
Patrick Morrisey	5396	13489	50	245
Hillel International	5385	26927	48	370
Team Morris	5073	10145	97	236
University of California	4661	23305	26	173
Arizonans 4 Affordable Electricity	4493	22463	50	450
Heritage Action for America	4061	8122	24	80
Tactical Pro Supply	3743	18714	14	180
Defending Main Street	3641	7282	59	188
United Steelworkers	3624	7248	33	84
No on IM-25	3431	6863	31	96
Protect Arizona Taxpayers	2973	5946	58	184
Dean Heller	2964	5927	51	192
Aftab Pureval	2562	12807	46	298
Sleeping Joe	2528	5056	66	168
PathWater	2526	5052	9	43
Restoration PAC	2427	4854	34	106
Fuse Washington	2399	11994	10	177
Northrop Grumman Corporation	2142	10712	21	125
Eric Eliason for Congress	2055	10276	20	197
Tablet Magazine	2005	10024	0	23
ACLU of Northern California	1901	9507	16	116
Left AF	1869	3738	27	68
Alex Merced for Vice Chair of the LNC - Libertarian National Committee	1844	3687	0	70
Progressive Takeover	1778	3555	42	117
Johnny Olszewski for Baltimore County Executive	1751	3501	31	90
Upstate Jobs Party	1632	8159	14	93
Galbraith for Congress	1468	7342	4	92
Prosperity Denver	1468	7339	23	135
ACLU of Ohio	1429	2858	13	35
Leonard Lance Wrong for New Jersey	1369	6846	31	243
Avaaz	1366	6828	11	80
Stacey Abrams	1291	6455	17	161
Dan Hegeman	1290	6449	8	49
Heidi Heitkamp	1283	2565	31	103
Marty Grohman for Congress	1276	6382	12	84
Kialo	1272	6362	17	127
FloridaStrong	1190	5950	13	93
No On Prop 5	1188	5942	17	112
Jared Golden for Congress	1167	2334	9	27
American Potential	1166	5832	11	81
Todd Novak for 51st Assembly District	1158	5792	9	97
Gibbs For Judge	1137	5687	12	80
Miami Freedom Park PC	1120	5598	1	50
Living Free	1112	5561	22	159
Jamie Ballinger for Tennessee Senate	1103	5515	11	125
Claire McCaskill	1078	5388	31	246
The Fighting for Families Fund	1043	5213	10	93
Dustin Daniels for Mayor	992	1983	3	19
Iowa Senate Majority	963	4815	18	70
CFT - California Federation of Teachers	962	4812	16	62
Julie Parrish for Oregon District 37	961	4806	14	82
Independent Voter	954	4770	6	59
Jason Crow for Congress	906	4528	13	87
DecideColorado	897	4486	4	43
Jim McGovern	894	1788	11	34
Sanderford for Alabama House	892	4462	6	80
Define American	884	1767	9	35
Missouri House Victory Committee	877	1754	3	12
Yes on Measure 106	857	1713	4	17
DD Adams for Congress	845	4226	5	64
350.org	811	1621	4	14
Bill Nelson	808	4038	12	97
Support The Court TX	804	4020	11	78
Will Hurd	795	3974	6	50
No On Prop 112	785	3925	10	109
Citizens for Independent Judges - Illinois 20th Judicial Circuit	771	1541	9	39
John Chrin for U.S. Congress	757	3784	8	62
Bill Flores	729	3647	4	39
Nels for State House	705	1409	0	27
LCV Victory Fund	690	3451	12	94
Miguel Suazo for Texas Land Commissioner	685	3426	2	26
Human Rights Campaign	678	3390	4	33
Duke Nguyen	659	1317	0	38
Allison Gilman For Judge	652	1304	4	14
Kate Brown	640	1280	9	32
Our Flag Our Country	634	3171	15	99
Access Fund	623	1245	0	16
Minnesotans for Line 3	621	3107	6	52
Jason C. Stephens, Lawrence County Auditor	619	1239	0	17
Representative Nick Mattiello	604	3020	0	49
Talley Sergent	598	2989	15	67
The Devil We Know	590	2952	2	16
Flip It Blue	588	1176	7	22
Eric Holguin for U.S. Congress	587	2933	3	32
Veterans and Affordable Housing Act	577	2886	8	65
