Ben McAdams	260995	0
March For Our Lives	285615	0
Our Kids 1st - Our Schools Now	360590	0
Shireen for Congress	198990	0
Eric Eliason for Congress	209994	0
Craig K. Pitts - Utah State Board of Education District #2	88981	0
Sim Gill for Salt Lake County District Attorney	112993	1493
Fox 13 News	74996	0
Vote Utah	70991	1291
VoteCastagno	64997	697
People United for Privacy	64990	0
Daniel W. Thatcher for Senate 12	54998	598
Prop 3: Utah Decides	49999	499
J Lee Castillo for Congress	49999	0
Chris Stewart	49999	499
Americans for Prosperity - Utah	49999	499
Edgel4Utah	19998	598
Senator Brian Zehnder	49982	1782
Jen Dailey-Provost for Utah	19997	297
Bob Aagard for Granite School Board	16996	396
Orem Families for UVU	15997	297
Senator Jim Dabakis	14998	198
Rozan4Clerk	30989	1089
Congressional Leadership Fund	28991	0
Scott Rosenbush 4 Utah	10998	198
Adam Gardiner	10998	198
Salt Lake County Democratic Party	9999	499
Rep. Mike Winder	9999	99
Drug Safe Utah	9999	499
Brad Bonham	20995	895
Rep. Steve Handy	19996	396
David Young for Utah House district 34	19996	396
Elisabeth Luntz for Utah House District 27	14997	0
Parks Project	4262	0
Solar Rebate	10997	0
Jim Bradley	10997	297
LDS Dems	9998	0
Clare Collard	11992	792
Jani Iwamoto	8995	495
Jeff Stenquist for Utah House of Representatives - District 51	5998	198
WPA Intelligence	4999	99
Representative Angela Romero	4999	99
Rebecca Winstead for Cache County Southeast District	4999	99
Ray Ward - Utah House District 19	4999	99
Pat Riley for Utah School Board - District 5	4999	99
Matt Fairbanks for Morgan County Sheriff	4999	99
Ken Ivory	4999	99
Kathie Darby for Utah House District 9	4999	99
Democrats for Nathan Evershed	4999	99
Bill Nelson	1862	0
Marsha Holland	3365	0
ReBuild USA	667	0
Future Now USA	540	0
FreightWaves	494	0
Penzeys Spices	762	0
Concealed Online	864	0
Donald J. Trump	6801	0
Tom O'Halleran	682	0
MoveOn	493	0
Indivisible Guide	188	0
Elizabeth Warren	461	0
Planned Parenthood Action	180	0
Circa	374	0
End Citizens United	286	0
Swing Left	1378	0
Medals Of America	263	0
Turning Point USA	103	0
Tom Steyer	177	0
National Republican Congressional Committee	293	0
Democratic Senatorial Campaign Committee (DSCC)	247	0
Goods Unite Us	219	0
Making Every Vote Count	226	0
America Fighting Back PAC	217	0
Power In Cooperation	312	0
John Catsimatidis	203	0
Proud Right Winger	202	0
Heidi Heitkamp	201	0
Defenders of Wildlife	74	0
Dissent Pins	72	0
Dallas Safari Club	72	0
Conservative Gear	153	0
United States Constitution	62	0
Flip Wyoming	147	0
Faith First                      Dan Q Carr, Jr	49	0
Strong Women Society	47	0
Planned Parenthood	120	0
Independent Voter	104	0
Tony Evers	40	0
Lake County Gazette	79	0
Pfizer	48	0
Cindy for Schools	70	0
Safe Horizon	25	0
Human Rights Campaign	60	0
Anthony Bonna	55	0
Partnership for Oregon Communities	21	0
Finance Watchdogs	54	0
Brian Frosh	20	0
Rugged Roots	47	0
Politicon	1128	0
Protect CA Health Care	36	0
Everytown for Gun Safety	36	0
New Yorkers Together	35	0
Brady PAC	35	0
Americans for Farmers & Families	35	0
Rooted in Rights	31	0
America Rise Up	30	0
NEA Today	28	0
Jay Inslee	28	0
45th President Donald J. Trump	39	0
Liberty Nation	25	0
Kirsten Gillibrand	25	0
Heifer International	25	0
Gina Walkington	22	0
Zumbach for Iowa House	19	0
Renee Hoagenson for Congress	19	0
Solange for Scottsdale City Council	14	0
Climate Facts	14	0
Jill Norgaard for AZ House	13	0
Steuart Pittman for County Executive	7	0
Greenpeace USA	35	0
SEIU MN State Council	8	0
Arizona Truth Squad	5	0
Auburn Seminary	6	0
Alliance San Diego Mobilization Fund	2	0
Democratic Party	17192	0
Karen Mayne for Utah Senate 5	5994	594
Anthony Sudweeks for House District 49	4995	495
Terryl Warner - District 1	3966	0
Jennie Earl State School Board	2997	297
The Clean Air Act	1998	0
Priorities USA Action	1998	0
Kathleen Riebe  Senate 8	1998	198
Equality Utah	1343	0
Askov Finlayson	1102	0
Unite For Holladay	999	99
Tina Cannon-Morgan County Council	999	99
Shannon Allen for Garfield County School Board	999	99
Representative Jefferson Moss	999	99
Modern Medicaid Alliance	999	0
Deana Froerer for State Senate	999	99
Garry Hrechkosy for Salt Lake County Auditor	994	0
Utah Policy	847	0
VoteTogether	500	0
Kyrsten Sinema	197	0
Ocean Conservancy	127	0
Democrats	118	0
Tammy Baldwin	100	0
Energy Nation	77	0
EMILY's List	59	0
Stand Up America	50	0
Exclusive Apparel	44	0
National Network of Abortion Funds	42	0
Chris Pappas for Congress	33	0
Support The 2nd Amendment	30	0
USA for UNHCR	29	0
Working Families Party	22	0
Sudan Relief Fund	22	0
No Kid Hungry	22	0
Divided We Stand	22	0
David Harrington for Dolores County Sheriff	21	0
Gavin Newsom	19	0
Notorious Rbg - Protect Women Power	17	0
Mercy Corps	17	0
Giving Brush	15	0
NRA - National Rifle Association of America	14	0
Andy Kim for Congress	13	0
Angie Craig	11	0
World Animal Protection USA	10	0
National Domestic Workers Alliance	10	0
Joe Kennedy III	10	0
American AF	9	0
Shield Republic	8	0
Science for Humans and Freedom Institute	8	0
Dean Phillips for Congress	7	0
Jeff Johnson	6	0
Coverage of the Trump Presidency by The Epoch Times	6	0
Protectors of The Wood Book Series	5	0
The Vegan Vibe	4	0
Adam Milasincic for Texas State Representative	4	0
ClubResist	3	0
Claire McCaskill	3	0
American Jewish World Service - AJWS	3	0
America with Eric Bolling	3	0
Adam Schiff	3	0
Mike Lee Baltimore County Council	2	0
Greene 4 Mayor	2	0
CFT - California Federation of Teachers	2	0
