No On Prop 10 - Stop the Housing Freeze	41904	83807	3944	8660
FreightWaves	27030	54060	214	756
Scott Walker	15286	30572	204	693
Lou Barletta	13679	27358	247	821
Goal SD	13333	33333	378	2146
MI Senate Republican Campaign Committee	12335	30838	354	1435
Your Obamacare Quote .com	9682	19365	124	362
No Labels Action	9367	23418	216	779
The Boeing Company	9324	18647	56	194
Republican Governors Association (RGA)	8653	17306	192	624
Jordan Brandman for Anaheim	8299	20746	170	379
Mexico Joe	8033	16066	148	522
Powerpac GA	7917	19793	67	294
Duncan Hunter for Congress	7434	14867	105	443
Jimmy Patronis	7255	14509	108	274
Oklahoma Health Action	7189	14378	38	402
United States Constitution	7152	14304	60	185
Flip It Blue	7123	14245	89	276
Marty Grohman for Congress	6617	13234	62	175
RSCC	6494	12987	81	322
The Leadership Conference on Civil and Human Rights	6360	12719	130	365
Let Us Vote Austin	6238	12475	62	124
Political Icons	6053	12107	98	303
Ammar Campa for Congress	5887	11774	182	494
Charlie Kirk	5715	11430	10	37
The Humane Society of the United States	5571	13927	174	620
Approved By Citizens	5401	10801	87	267
American Potential	5326	10651	50	149
Ralph Norman for Congress	4680	9360	38	118
Likewise	4414	11035	76	310
No Prop 8 - Stop the Dangerous Dialysis Prop	4367	8733	89	299
Tony Luetkemeyer	4143	8286	55	179
John Legere	4119	8238	22	90
Ed Perlmutter	3987	9967	30	148
Sierra Club	3793	7585	33	107
Senator Dorsey Ridley	3748	7497	33	106
AM 560 The Answer	3695	18475	31	194
American Values PAC	3510	7021	39	134
David Holden 2018	3449	6899	31	136
PLAN Action Fund	3393	6786	31	108
Denham Says, Denham Does	3302	6603	67	229
Gill Foundation	3195	7987	1	11
Firearms Policy Coalition	3118	15590	22	146
Grossman for Congress	2875	14377	15	283
DownsizeDC.org	2718	13590	20	216
Harley Rouda	2683	13415	38	265
Building a Stronger Nevada	2565	5129	36	120
Better Colorado Now	2182	4365	38	103
AARP Florida	2147	10734	16	122
45th President Donald J. Trump	2120	10600	18	229
Gina Raimondo	2059	4118	19	89
Climate Facts	2059	4118	0	21
Voters In Charge	2055	10277	13	115
Alice B. Toklas LGBT Democratic Club	2047	4095	5	13
NC Conservation Network	2031	4061	23	88
Suzanne Atwell Show	1906	9532	9	65
Doug LaMalfa for US Representative	1840	9199	13	96
Tax March	1815	9074	35	270
Judge Sandra Ray for NC Court of Appeals	1798	8990	22	194
Democratic Senatorial Campaign Committee (DSCC)	1790	3580	11	51
Southern Poverty Law Center	1787	8937	11	72
Marc Molinaro	1737	8684	6	78
Jeff Johnson	1735	8676	8	86
Sunshine State Approved Medicare Plans	1727	3453	28	150
My Pay My Say	1720	8600	24	182
Tony Cho for Los Angeles County Superior Court Judge	1679	3358	4	18
AM1590 The Answer	1641	8206	14	89
Ohio Newswire	1633	8167	23	155
Trey Hollingsworth	1618	8091	31	219
Illinois Policy	1547	7733	6	59
Republican Party of Texas	1509	7546	5	72
Senator Chris McDaniel	1505	7524	8	75
Open Primaries	1472	7362	17	125
One Florida Foundation	1442	7212	8	95
MJ for Texas	1430	7148	21	173
Solar Rebate	1415	7073	22	154
Republican State Leadership Committee	1394	6968	18	155
Delbert Hosemann	1315	6575	11	93
American Financial Advisory For A Better Future	1300	6501	128	639
Indiana Republican Party	1220	6100	37	291
Center of the American Experiment	1220	2439	2	40
AARP Iowa	1218	6091	9	67
Texans for Natural Gas	1154	2307	10	32
Issue One	1152	5759	5	89
E. O. Wilson Biodiversity Foundation	1124	2248	4	57
Dan Patrick	1101	5503	14	107
Representative Matt Shaheen	1080	5401	18	185
Alliance for a Better Minnesota	1071	2141	12	46
Susan Wild for Congress	1060	2119	12	46
Home Improvement Deals	1057	5287	15	116
State of Safety	1048	5239	16	123
Janet Garrett for Congress	1045	5223	25	183
Elect Doug Kyle Texas County Sheriff, Texas County Missouri	1030	5149	6	51
Independent Women's Voice	1008	5041	20	128
Re-Elect Justice Patricia O. Alvarez, Fourth Court of Appeals	996	1992	0	29
Leslie Rutledge for Arkansas	969	4844	12	112
Alliance For Tennessee Families	962	4812	10	56
Claire McCaskill	951	4753	27	217
Businesses for Responsible Tax Reform	940	4700	33	83
Paolo Weston	929	1857	2	20
