Calvin Ball	266000	684989	2800	14089
Larry Hogan	185000	609989	2267	9097
Brian Frosh	141000	495986	3453	12117
Montgomery County for Nancy Floreen	100991	206951	999	5294
Johnny Olszewski for Baltimore County Executive	70000	202994	1100	2794
People Over Politics MD	68000	295988	500	3188
Delegate Christian Miele for State Senate	30000	119996	290	1627
Maryland Accountability Project	26000	115995	300	1695
Maryland Senate Democrats	25000	109997	222	1097
My Pay My Say	21000	74996	212	1211
Nino Mangione	20000	69997	300	1497
Marc Elrich for County Executive	15000	59998	100	598
Lashar for Congress	15000	59998	100	598
Kathy Szeliga	15000	59998	100	598
Solar Rebate	13000	35994	179	1291
Robin Delivers for You	10000	49999	100	499
David Trone	10000	21996	200	1196
Amie Hoeber for Maryland	9770	50834	48	396
Marc Solomon for School Board	7710	38940	0	255
Mike Lee Baltimore County Council	7000	37990	0	1061
The Baltimore Post	6000	29994	0	594
Julie Brewington - Wicomico County Council At Large	6000	15997	100	697
Concealed Online	5510	28916	60	680
Alice Cain For Delegate	5000	24995	0	495
JCRC of Greater Washington	5000	9999	62	341
AARP Maryland	5000	9999	0	99
4ocean	4666	11665	19	94
CAIR	4018	20089	40	235
Anne Colt Leitess for Anne Arundel County State's Attorney	4000	21994	0	594
Northrop Grumman Corporation	3851	19256	38	192
Shatterproof	3412	17062	24	179
Allan Kittleman	3000	25986	138	952
Friends Of Steve Johnson	3000	14997	0	297
Delegate Dr. Jay Jalisi	3000	14997	0	297
Dummycrats	2119	5298	5	11
MoveOn	2018	6908	19	183
Dave Bishop for Congress	2000	17990	0	852
Dana Schallheim for Anne Arundel County Board of Education - District 5	2000	10997	0	297
Joe Hooe for Senate	2000	9998	0	198
Izzy Patoka for Baltimore County Council	2000	9998	0	198
Friends of Buddy Staigerwald	2000	9998	0	198
Delegate Paul Corderman	2000	9998	0	198
The Center for Community Change	1682	6562	6	58
Democratic Attorneys General Association	1487	2973	11	38
Donald J. Trump	1148	12682	15	599
Delegate Matt Morgan	1000	9994	0	449
Mark Uncapher	1000	8995	0	534
Scott E's Blog	1000	6997	0	297
Ron George	1000	5998	0	198
Laura Price for Talbot County Council	1000	5998	0	198
Julie Reiley for Board of Education	1000	5998	0	198
Dawn Myers For Anne Arundel County Council, District 5	1000	5998	0	198
Councilman Isaac Yitzy Schleifer	1000	5998	0	198
WISE	1000	4999	0	99
Southern Maryland Association of REALTORS	1000	4999	0	99
Sarah Lacey for AACo Council District 1	1000	4999	0	99
Robbie Leonard for Senate	1000	4999	0	99
Randy Bounds for Caroline County Sheriff	1000	4999	0	99
Neighborhood Sun	1000	4999	0	99
NARAL Pro-Choice Maryland	1000	4999	0	99
Maryland Democratic Party	1000	4999	0	99
Karen 4 Maryland	1000	4999	0	99
John Krowka for Board of Education	1000	4999	0	99
Friends of Bill Day	1000	4999	0	99
Donna Blasdell Southern Harford's Voice	1000	4999	0	99
Democratic Club of Queen Anne's County	1000	4999	0	99
Delegate Robin Grammer	1000	4999	0	99
Communities United	1000	4999	0	99
Colvin for Commissioner	1000	4999	0	99
Chinese American Parents Association Of Montgomery County	1000	4999	0	99
Camden Raynor for Board of Education	1000	4999	0	99
Calvert County Republican Party	1000	4999	0	99
Ben Jealous	1000	4999	0	99
1199 SEIU Maryland/DC	985	4924	0	97
ACLU of the District of Columbia	509	2544	0	50
NRCC IE	500	1067	7	20
Brennan Center for Justice at NYU Law	455	2277	0	49
MDGOP LD-15	421	2876	0	94
Alexandria Ocasio-Cortez	417	2082	3	28
SDSU WEST	385	769	4	11
Independent Voter	380	1100	2	13
Penzeys Spices	376	1878	11	54
Dissent Pins	325	1324	2	16
ACLU	317	1425	3	30
AMA Patients’ Action Network	297	1486	1	10
Democratic Senatorial Campaign Committee (DSCC)	230	1173	1	18
Beto O'Rourke	213	1067	3	23
45th President Donald J. Trump	189	942	1	16
Circa	188	519	0	1
Jeff Dove for Congress	176	879	0	17
MJ for Texas	176	878	3	21
Barbara Comstock	165	825	1	9
Proud Right Winger	160	836	1	13
U.S. Chamber of Commerce	157	372	0	4
OxGrove Democrats	151	870	0	28
Giving Brush	143	715	0	10
The Nib	142	910	0	14
Berkeley County Democratic Executive Committee	128	641	0	12
Define American	124	619	1	10
Our Children's Trust	122	611	2	8
