Scott Walker	2904847	0
Republican Governors Association (RGA)	1481925	0
Ron Kind	799997	14997
Concealed Online	853613	0
Americans for Prosperity	699995	15995
Restoration PAC	346987	0
Wisconsin Right to Life	295172	0
Tammy Baldwin	287959	0
The Real Robyn Vining	199998	9998
Human Rights Campaign	331969	0
Marsy's Law for Wisconsin	327862	0
The Real Rob Grover	149998	5498
Our Lives Our Vote	114997	0
Associated Builders and Contractors of Wisconsin	99999	999
Howard Marklein	149997	1497
The Voter Participation Center	121574	0
Chris Rahlf for State Assembly	45994	0
Gov Walker Stop ATC	59998	998
Dennis4WI	30996	396
Tranel for Assembly	54998	598
Alliance for Climate Education	54998	0
Vote Janel	49999	499
DoSomething.org	49999	0
Backcountry Hunters & Anglers	49999	0
Alyson For Wisconsin	49999	499
Dittrich for 38th Assembly District	20997	697
Democratic Party of Green County	49974	0
Majestic Madison	48915	0
Plea for a change, the Michael Bell shooting	42794	0
Emily Siegrist for Wisconsin	24996	396
Voto Latino	30986	0
The Nature Conservancy in Wisconsin	14998	198
Liz for Wisconsin	14998	598
Niemeier for Trempealeau County District Attorney	10998	198
Wisconsin for Public Lands	9999	99
Pat Snyder for the 85th Assembly	9999	99
Kim Butler for WI Assembly 28	12611	0
Instagram	8928	0
Gae Magnafici for WI Assembly District 28	7185	0
Tony Evers	10907	0
Planned Parenthood Action	14375	0
4ocean	6260	0
National Republican Congressional Committee	4844	0
YES for Oak Creek Schools	9998	198
Jim Ott for Assembly	9998	198
Charlie Warner for Assembly	9998	0
Amy Loudenbeck for Assembly	9455	0
Nick Hyde for State Representative- 89th District	8808	0
PragerU	3959	0
Civiqs	4337	0
Tactical Pro Supply	3515	0
Donald J. Trump	13385	0
Local Majority	6074	0
Federal Voting Assistance Program - FVAP	2613	0
Senate Majority PAC	2768	0
Tom Palzewicz for Congress	6997	297
Travis Hartwig for Wisconsin State Treasurer	5998	198
Plumer for Assembly	5998	198
David Gorski for the 72nd Assembly District	5998	198
Wisconsin Institute for Law & Liberty	4999	99
Wisconsin Alliance for Women's Health	4999	99
Wirth4Mequon	4999	99
Waukesha County Democratic Party	4999	99
Treig E. Pronschinske For 92nd Assembly District	4999	99
Tosans for Responsible Government	4999	99
Rod Dicus for Dunn County Sheriff	4999	99
Robyn For Wisconsin	4999	99
Maggie's List	4999	0
Kevin Booth	4999	99
Josh Kaul	4999	99
Focus on Marshfield	4999	99
Democratic Party of Rock County	4999	99
David Zoerner for Kenosha County Sheriff	4999	99
Elizabeth Warren	3903	0
Penzeys Spices	3017	0
Ed McBroom for State Senate	2526	0
Military Network	944	0
The Nature Conservancy	1778	0
Farmworker Justice	1740	0
Your Trump Shop	1736	0
Ignite National	1425	0
Claire McCaskill	948	0
I Love You, America	1390	0
Penguin Kids	1144	0
Kamala Harris	7454	0
League of Women Voters of the U.S.	593	0
Heidi Heitkamp	1355	0
Lisa Ring for Congress	523	0
United States Constitution	1212	0
Tim Walz for Governor	1198	0
ACLU	975	0
Nine Line Apparel	1136	0
Tax March	1085	0
Chuck Schumer D-NY	1078	0
Winning For Women	1318	0
The Atlas Society	923	0
45th President Donald J. Trump	885	0
Oceana	1272	0
Exclusive Apparel	833	0
American AF	371	0
Democratic Attorneys General Association	702	0
2nd Amendment Supporters	694	0
NRSC	691	0
Flip It Blue	688	0
CARE	407	0
Proud American Hunter	260	0
Beto O'Rourke	712	0
Truthout	255	0
Janet Garrett for Congress	243	0
Turning Point USA	301	0
SEIU MN State Council	556	0
Coastalteesfashion	511	0
Transamerica Center for Health Studies	205	0
T.J. Shope	450	0
Dianne Feinstein	180	0
Energy Citizens	1343	0
Conservative Tribune	221	0
Angie Craig	412	0
Eric Bolling	193	0
Voters - Not Politicians	159	0
MoveOn	1410	0
Conservative Gear	159	0
Jennifer O'Mara for State Rep	156	0
Paul Reinke for Oakdale	384	0
New Hampshire Democratic Party	354	0
National Domestic Workers Alliance	169	0
World Wildlife Fund	276	0
Jeff Howe	261	0
Charity Mobile	244	0
Keith Faber	93	0
Pfizer	243	0
Jake Highfill	221	0
Jack Bergman	215	0
Stand Up America	548	0
Mindfulness Together	68	0
Hunter Breckenridge	158	0
Surfrider Foundation	58	0
Crime Survivors for Safety and Justice	136	0
Left AF	133	0
Armed American Supply	202	0
