Grow Louisiana Coalition	1130000	4035711	15710	81474
Americans for Prosperity - Louisiana	945577	2456271	3307	21510
Truth in Politics	661002	1486492	5878	29240
Rebuild Louisiana	602857	1801463	1576	12117
Restore the Mississippi River Delta	495007	1406849	1528	14118
Campaign To Elect A.G. Crowe - Secretary of State	474555	1463317	2681	14228
Louisiana Chemical Association	460921	1466652	4090	19050
Lift Louisiana	418000	2073347	7200	91947
Louisiana Association of Educators	409000	1123958	6515	31142
Lee O. Savage For Mayor of Shreveport	377419	1577080	1499	22991
Bill Cassidy	340000	899994	9897	28721
Republican Party of Louisiana (LAGOP)	273000	616988	2300	5988
Stand for Children - Louisiana	267000	690986	3878	14170
Americans for Prosperity	213623	461267	3753	12433
Congressman Mike Johnson	213547	716499	2575	10803
Caddo Parish Alliance	200000	499999	1000	4999
ExxonMobil	196541	604656	8045	29828
Solar Rebate	189999	805952	2989	17642
Elect Ellen Daigle Doskey	163000	425986	894	3938
Ralph Abraham	156676	426315	2238	11336
Know Your Vote Louisiana	151000	454991	3400	13991
Elect Jennifer Womble, Judge	143000	388978	900	4678
Auto Alliance	140000	399995	616	2935
Patient Access for Louisiana	140000	399994	1400	3994
Gumbopac	136868	626340	2027	8560
Heather Cloud	130995	553949	999	6573
Pelican Institute for Public Policy	129000	675928	1355	12068
Elect Chad Nugent - Jefferson Parish School Board District 8	127000	444956	1050	8662
Mike Johnson	120571	306026	2601	13705
Central City News	117000	539985	956	5245
Louisiana Progress	117000	240993	1000	5593
Raise The Bar Baton Rouge	116000	523977	1700	7977
Louisiana Secretary of State Kyle Ardoin	115536	423650	2063	12597
Senator Rick Ward	110000	249998	100	598
John Nickelson for City Council	104986	525897	984	6074
Blue Cross and Blue Shield Of Louisiana	100000	199999	100	499
Blake Miguez	100000	199999	1000	4999
Concealed Online	98516	261553	1421	7004
Jim Taliaferro for Mayor	93000	322946	98	5914
Will Rhymes Barham for District Judge	90000	299995	600	1795
Stand Up for School Bus Safety	90000	269994	1107	5021
Josh Guillory for Congress	88880	400384	795	4443
Bruce Hampton For Judge	86750	348687	307	5956
Adrian Perkins for Mayor of Shreveport	86000	282969	0	3069
Judge Jimbo Stephens for Court of Appeal	84989	319923	447	4024
Big Easy Magazine	84000	243978	200	2978
Liftable Engagement Services	78036	336461	827	10371
Citizens Against Lawsuit Abuse	76195	300845	884	7221
Louisiana Bucket Brigade	76000	214995	800	2595
Committee to Elect Mark C. Morgan	75000	347984	300	2784
Richard Perque	75000	300980	700	4780
Chris Hazel for District Judge	75000	209996	1100	2596
Terrebonne Parish President Gordon Dove	74000	234978	200	2779
Erin for Judge	72000	362979	300	3279
Charles Elliott for Rapides Parish District Judge	70000	305986	350	2651
Southern Poverty Law Center	70000	200996	467	1628
Sheriff Joseph Lopinto	63000	300985	400	3085
Friends of Judge Sharon Marchman Campaign Committee	62991	227574	145	2848
Demand Justice	60228	302292	913	8118
Raising Grades, Lifting Futures	60000	271991	700	3691
Louisiana Right to Life	60000	149998	600	1498
Re-Elect Sandy Denapolis Bosarge for School Board	59000	248961	98	4274
Lower Magazine Neighbors	54000	243986	1989	9310
Keith Hanson For District D	52977	196907	331	3830
Amanda Calogero for Judge	51000	106996	1000	5296
Jesse Schmidt for US Congress La 2nd District	50000	219994	454	2575
Tony Perkins	50000	99999	136	545
Audubon Aquarium of the Americas	50000	99999	100	499
Congressman Clay Higgins	49874	99748	332	829
Marcus Hunter for District Judge	49570	100138	97	658
Business Forward	49532	116169	1025	4542
Fed of American Hospitals	49000	231989	1303	6957
LaPolitics	48150	96300	96	480
Stuart Moss for State Representative	46948	193717	299	3274
Energy Transfer	46902	117254	182	941
Donald J. Trump	46484	316281	487	8053
Sumer Cooner for Caddo Parish School Board Member District 8	44999	201947	0	4779
Steven Jackson for Mayor	43000	188979	0	2079
Louisiana Citizens for Job Creators	42000	194989	200	1889
Jessee Carlton Fleenor for Congress 2018	40998	176808	264	1686
Captain Clay Higgins	40000	169995	200	1295
Louisiana Taxpayers First	39954	172752	235	2334
Cameron Henry	37000	159984	300	2784
Put Louisiana First	36000	181391	306	3785
Jr. Shelton for Mayor of Central	36000	180990	175	1790
Louisiana Lawsuit Abuse Watch	36000	166993	1163	3833
Don Little for School Board	36000	124984	100	1984
Louisiana Association of Business and Industry - LABI	36000	104993	100	1093
Elect Gregory Rome	35985	171930	97	2586
Ryan Gatti for State Senator District 36	34000	109991	100	1291
The Louisiana Record	33000	134993	200	1493
St. George, Louisiana	32000	132982	100	2182
W.K. Kellogg Foundation	31331	82818	186	742
When We All Vote	30613	90557	536	1883
The Bayou Brief	30000	149997	240	1257
Patrick Kirton for City Council	30000	138979	100	2559
Wade Evans for Council at Large	28971	101931	399	2588
Monique Clement for Judge	28000	124994	200	1394
Kim Landry for Judge	28000	124994	200	1394
Norman Craig for Police Jury	27908	109533	132	1319
