FutureinAmerica	939852	3999984	4883	38318
NumbersUSA	715092	1730232	7935	34460
NRDC	86000	264994	504	3153
National Republican Congressional Committee	61630	271875	1015	9159
Dan McCready for Congress	45982	180909	1313	7636
NC Conservation Network	41000	174994	300	1794
Dan Forest	25000	109997	100	697
Vote With Me	21997	98951	162	4226
NRCC IE	20977	86895	667	3475
Friends of the Earth U.S.	20000	72994	272	2518
Elect Amanda Edwards	19999	99994	199	997
Living Free	19000	49993	1068	3003
Women For Civility	15000	59998	1365	4469
FreedomWorks	12998	53761	100	1209
Mark Harris Not For Us	12982	67896	169	1613
Tom Steyer	11314	35284	434	2346
Elect Jarrod Lowery NC House 47	11000	59993	0	693
LCV Victory Fund	10000	49999	150	1994
Elect Gavin Reardon Superior Court Judge	8000	24996	0	396
Judge Sandra Ray for NC Court of Appeals	5000	11992	0	296
D. Cole Phelps for NC Senate	4882	10762	0	193
Judicial Watch	4085	8170	45	131
GOP	4019	592169	4	55065
Swing Left	4015	10219	63	282
Color Of Change	3455	14613	7	74
Terri Legrand for NC House 2018	3000	23834	100	1593
Jeff Jackson	3000	15996	0	377
Military Network	2996	14975	299	1493
American AF	2422	4844	20	75
Democrats	2221	18689	34	586
Donald J. Trump	2174	48395	41	2122
Pitt County Democratic Party	2000	13994	0	594
Justin Conrad, Guilford County Commissioner	2000	10997	0	297
Jon Hardister	2000	10997	0	297
America First Action	2000	10997	55	450
Elect Paul Ross	1964	9820	0	194
Families Belong Together	1465	2929	31	99
The Daily Show	1218	6089	8	54
Solar Rebate	1002	5006	4	153
Our Flag Our Country	1000	9991	57	1019
Tim Ivey for County Commissioner	1000	6989	0	296
David Rouzer	1000	5998	0	254
Sig Hutchinson For Wake	1000	4999	0	99
Senator Tamara Barringer	1000	4999	0	99
Representative Greg Murphy, MD	1000	4999	0	99
Kreider for Judge	1000	4999	0	99
John Czajkowski for NC House 43	1000	4999	0	99
Jason Saine for NC House	1000	4999	0	99
Elect Bradford	1000	4999	0	99
Davis for NC House	1000	4999	0	99
Concealed Club	1000	4999	11	180
Roxie Cash - Wake Board of Education	999	4996	0	98
Jerry Carter - Candidate for NC State House	805	4024	0	79
4ocean	492	1888	2	14
Eric Bolling	445	890	7	45
Sierra Club	437	2217	2	32
VoteTogether	410	2048	3	57
David Bullard for Senate 2018	407	2034	1	26
MoveOn	403	2074	6	60
NextGen America	387	781	3	23
Democratic Senatorial Campaign Committee (DSCC)	303	1516	2	15
National Center for Transgender Equality Action Fund	291	1453	3	24
Beto O'Rourke	247	1352	5	46
Circa	228	577	0	7
Humane Society International	218	1090	10	27
I Love My Freedom	195	390	1	19
Shareblue Media	155	402	3	11
Concealed Online	136	862	0	22
PolicyEd	135	270	0	2
Liuba Grechen Shirley-Congress	134	1071	1	52
Jacky Rosen for Nevada	121	243	1	3
CREDO Mobile	109	616	1	32
Michigan Leadership Committee	109	544	0	19
Citizens Against Foreign Interference	105	523	0	17
Penzeys Spices	102	562	2	18
Alderman Steve Giacomi	79	397	1	7
UC Student Association (UCSA)	72	359	0	1
45th President Donald J. Trump	69	442	0	8
Co-ops Vote	68	341	0	5
Ocean Conservancy	48	317	0	20
Human Coalition	47	235	0	7
Margaret W. Wong & Associates	45	223	0	13
Human Rights Campaign	41	83	1	3
32BJ SEIU	40	198	0	4
Restoration PAC	36	180	0	3
Turning Point USA	34	172	0	1
Israel365	33	164	0	3
USA for UNHCR	28	152	0	6
Independent Voter	27	71	0	0
Winning For Women	25	650	0	27
Phil Bredesen	23	467	0	24
Strong Women Society	22	238	0	15
LifeDaily	19	144	0	5
FloridaStrong	18	166	0	3
Louise Valentine for State Senate	16	79	0	0
Ralph Norman for Congress	11	91	0	4
Healthy Montana Campaign	10	71	0	2
Chris Murphy	9	44	0	1
Renee Hoagenson for Congress	8	62	0	1
Rick Green	8	23	0	1
