No On Prop 10 - Stop the Housing Freeze	84047	0
No Prop 6	89104	0
4ocean	50449	0
I'll go ahead and keep my guns, Thanks	46879	0
Choose Me Not 3	113724	0
Reincarnation Research	36159	0
Rauner Failed Me	41626	0
National Republican Congressional Committee	35931	0
No Prop 8 - Stop the Dangerous Dialysis Prop	27695	0
Devin Nunes	26565	0
Chris J Cate	23502	0
Tom Reed	22427	0
Metro Puerto Rico	19617	0
Living Free	24608	0
Nine Line Apparel	20404	0
The Wilderness Society	18871	0
Transparency in Government	17657	0
Independent Voter	19003	0
Everytown for Lucy McBath	29648	0
U.S. Sugar	17336	0
No on IM-25	16381	0
Yes on Measure 106	15992	0
No on 103	14944	0
350.org	13864	0
Costa Mesa Fire Fighters Association - IAFF Local 1465	12631	0
Alliance for a Better Minnesota	11779	0
Prosperity Denver	11487	0
Mike Coffman	11596	0
FloridaStrong	19299	0
McKinley for Congress	10327	0
MI Senate Republican Campaign Committee	22514	0
Protect Arizona Taxpayers	9787	0
Minnesota Values	9855	0
Rick Allen	14225	0
Diane Harkey	8800	0
Progress Texas	13679	0
Larry Hogan	10464	0
Mick Rich	20146	0
AARP Iowa	4845	0
Heidi Heitkamp	4850	0
Kialo	12416	0
Henry McMaster	17759	0
Penzeys Spices	5643	0
Justice Elizabeth Lang Miers	4302	0
Free to Teach	9963	0
Beacon	9389	0
Rebel for Iowa	8896	0
Councilmember Luis Chavez	8848	0
Jocelyn Benson	7923	0
TriMet	7434	0
The Devil We Know	7344	0
John Chrin for U.S. Congress	13215	0
Ryan Mackenzie for State Representative	21214	0
Andy Barr	7000	0
Re Elect Bob Hebert - Fort Bend County Judge	6999	0
Jena Griswold for Colorado	7443	0
Jessee Carlton Fleenor for Congress 2018	6970	0
Maryland Accountability Project	3679	0
Ken Simpler for Delaware	6676	0
A. Blair Dunn for New Mexico	6538	0
VoteCastagno	7385	0
Elect Mark Rabe Circuit Judge	6503	0
Giselle Hale for RWC Council	7329	0
Edwards for New Hampshire	6267	0
Miami Freedom Park PC	9775	0
Marsy's Law for Kentucky	6047	0
Mike Kelly for Congress	5978	0
NewsBusters.org	7613	0
Powercaaction	2376	0
Mi Familia Vota	2866	0
Eric Eliason for Congress	5835	0
United States Constitution	2746	0
Save Your Home Now	5747	0
Catherine Stefani	6425	0
Charlie San Miguel for Mayor	5574	0
Alliance San Diego Mobilization Fund	6341	0
Tracy Freese	2398	0
Alex4Wyoming	5358	0
The Humane Society of the United States	2114	0
Power California	5205	0
Kathy Szeliga	5202	0
Ben Shapiro	5202	0
James Ramos for Assembly	5168	0
Northwest Abortion Access Fund	9998	0
Jason Tolliver for Lawrence Co. Auditor	12256	0
Minnesotans for Line 3	4961	0
The Atlas Society	3215	0
Andrew Gillum	13082	0
Alexander Street	4737	0
No on Measure M - Too Expensive / Doesn't Work	4717	0
Fred Hubbell	4702	0
PhRMA	4679	0
Andrew Collins for State Rep	4611	0
Tim Walz for Governor	15648	0
NC House Republicans	7712	0
Conservation Law Foundation	1813	0
Operation Sacred Trust	1810	0
Middle Class Missouri	8074	0
Laura Ellman For Senate	4462	0
Greg Scharff	5387	0
Will Hurd	4389	0
Our Flag Our Country	9284	0
Vote YES for New Smyrna Beach Turnbull Creek Water Quality Bonds	2319	0
Bob Stefanowski	4354	0
Trafalgar Group	4314	0
Americans for Prosperity - Colorado	1838	0
No on Measure G	4294	0
Selma Pierce	4271	0
Gina Walkington	4486	0
Know Your Vote Louisiana	4259	0
Beto O'Rourke	13621	0
Conservative Gear	4231	0
Sleeping Joe	9831	0
Andrew Chesney for State Representative- 89th District	1665	0
Progress NC Votes	10134	0
Marsy's Law for Georgia	4128	0
Marc Molinaro	1647	0
Greg Lasak for District Attorney	4067	0
Kate Brown	4100	0
Ohioans for Fair Maps	10856	0
Lee Chatfield	3984	0
Eastern Bank	3984	0
Poythress for Senate 2018	3969	0
Latta for Congress	4083	0
America Fighting Back PAC	4026	0
Elect Judge John Sanders	4220	0
Hoover Democrats	3745	0
Yoder Wrong for Kansas	5641	0
Minnesota Issues That Matter	1478	0
Clark Mitchell for State Representative	3662	0
Lynn Greer for Alabama House	3899	0
Kenneth C. Henning	1463	0
Matthew Sutherland	3688	0
Senator Chris McDaniel	2256	0
Ned Lamont	10685	0
Linda Jack	3610	0
Timothy David Ray	1396	0
Elizabeth Warren	3582	0
Steve O'Dorisio, Adams County Commissioner	1552	0
Chicago Socialist Alternative	1386	0
David Thomas for County Auditor	1364	0
Left AF	3315	0
David Chiu	1324	0
RSCC	3271	0
Scott Huber For Chico City Council	3258	0
Support Our Schools	1427	0
Elissa Slotkin for Congress	16197	0
Don Sun for FUHSD Trustee	1576	0
Sergio Espericueta for Cathedral City Council - District 4	1258	0
Betsy Holland for Georgia	1257	0
California Hospital Association	3123	0
County Cover-Up	1219	0
Peter McLaughlin	1210	0
Ryan Bowden - Alamance County Board of Education 2018	1200	0
Planned Parenthood Action	1527	0
Bob Lucey	1184	0
Sierra Club	1180	0
Friends Of Bob Watt	1178	0
North Carolina Citizens	2932	0
DD Adams for Congress	2989	0
Avaaz	2932	0
Jake Highfill	1158	0
Sharon Shewmake Page	1858	0
NRCC IE	2099	0
Citizens for Secure Borders	1116	0
The Meredith FX Fund	1115	0
Topic	1108	0
Mike DeWine	2727	0
Stand With Our Checkers	1084	0
Jordan Cunningham	1079	0
Shawn Kumagai for Dublin City Council	1030	0
Spectrum News NY1	1693	0
Rogers for Supervisor	1024	0
State of Safety	1021	0
Community in Support of NC12	1011	0
Linda Koop	1010	0
Medals Of America	1352	0
Vote For Abilene Kids	998	0
Jared Patterson, GOP Nominee for Texas House District 106	1104	0
FreedomWorks	1033	0
Full Voter Participation Act	1564	0
Guy McWhirter La Mesa City Council	962	0
Tammy Duckworth	2341	0
Mark Born for Assembly	929	0
John Kraljevich for SC26	921	0
Whatcom County Deserves Better	910	0
Nicole Ludlow for Elkhart County Auditor	910	0
Voters - Not Politicians	2384	0
Unite America	1031	0
Denise Garner for Arkansas	891	0
Dave Hughes	890	0
Jimmy Vega for North Las Vegas Constable	881	0
Michigan Families for Economic Prosperity	875	0
Aisha Wahab For City Council	872	0
You Should Know Texas	1907	0
Craig Christiansen for State Representative	869	0
Danny Mackey for Howard County Board of Education	868	0
Andrew Cuomo	1430	0
Maria Weekes For Judge	840	0
Jesus "Chuy" Dominguez	810	0
Gabby Salinas for TN Senate- District 31	804	0
Everybody Is For Amendment 2	880	0
Elect Knecht for AZ Senate	787	0
Discovery Institute	1946	0
Montgomery Township Republicans	766	0
Coloradans for Fairness	863	0
FM NewsTalk 97.1	1836	0
Dr. Yxstian Gutierrez - Mayor of Moreno Valley	720	0
Stand for Children - Arizona	1795	0
Stop I-186 To Protect Miners and Jobs	1377	0
VoteKathyLynch	700	0
AARP Advocates	699	0
45 Hats	1896	0
Terry Curry	678	0
State Representative Ryan Williams	677	0
Color Of Change	2500	0
Solar Energy Today	3278	0
Food for the Hungry	644	0
Brian Frosh	644	0
Clearing out the Clutter	1601	0
Mike Espy	1593	0
Michael J Roetzel	622	0
The #Wild4Whitmer Unofficial Street Team 2018	1543	0
TJ Cox for Congress	1494	0
Colorado Farm Bureau	593	0
Senator Brian Zehnder	1462	0
YES on M: SC for Rent Control	578	0
Mitch Templeton for 172nd District Judge, Jefferson County	568	0
Gregg Goslin	558	0
Teamsters Joint Council 10	1360	0
Deborah Hooker for County Judge	536	0
LCV Victory Fund	656	0
Yes on 1 - Mainers for Home Care	1419	0
A Penny for Progress	503	0
Alexandria Ocasio-Cortez	497	0
Make Comedy Great Again	714	0
Caroline Self	481	0
MDGOP LD-15	1153	0
Janelle Bynum	2517	0
Sarah Swain for Attorney General	1114	0
Self-Reliant Republic	1005	0
Parents Against Recreational Cannabis	1318	0
Hit For Good	1050	0
Campbell County Republican Party	1048	0
The Ben Shapiro Show	1176	0
Backcountry Hunters & Anglers	1030	0
Women For Civility	2687	0
NO on 105	994	0
Fix Politics Now	1740	0
Vanishingsf	975	0
NeSmith Immigration Attorneys, LLC	914	0
Marie Waldron, State Assemblymember	365	0
Attorney Teana V Watson	903	0
War Against Racism	893	0
Time To Vote On Climate	858	0
Mayor Robert J. Lovero	851	0
VOTE BLUE OC	848	0
Republicans for the Rule of Law	847	0
Tom Demmer	839	0
ACES	835	0
Citizens for Consolidation	829	0
Defenders of Wildlife	4165	0
North Dakotans Against Measure 3	789	0
Pete Sessions	773	0
Chris Sununu	765	0
Angus King	1279	0
Zachary Parker, Candidate for DC State Board of Education, Ward 5	759	0
Lawrence Goldfarb Criminal Justice Partners	759	0
Lori Braucks - Hastings At Large City Council Member	745	0
SF Environment	911	0
Grand Island's Future	735	0
Citizens PAC	718	0
Shouldn't you be in Canada by now?	711	0
Victor Alcantara 4 Coachella City Council	707	0
Julia Pulver, RN for Michigan Senate District 15	699	0
Camelot Education	278	0
Chris Moore for Mayor	692	0
Jack Jacobs	687	0
Tony McCombie	685	0
Hermann for Prosecutor	682	0
Home Improvement Deals	672	0
Jim Gibson	671	0
MTC Changes Lives	719	0
Jay Gonzalez	884	0
Senate Leadership Fund	702	0
Mayor Matt Hall	660	0
Changetherules.org	264	0
The Real Ravitz	655	0
Vickie Paladino for State Senate	654	0
Phil Skaggs	734	0
Jon Tester	682	0
Shirley Layton for Texas State Senate	261	0
Scott Walker	644	0
Liberty Justice Center	632	0
Politica CT	629	0
Brodehl For County Commissioner	621	0
The Tikvah Fund	617	0
Jen Dailey-Provost for Utah	616	0
Terra Nostra	611	0
Northern Plains Resource Council	611	0
Re-elect Mayor Tom Butt	744	0
Tom Wolf	1748	0
Chad Young State House District 3	598	0
Growth Energy	594	0
WORLDZ	1216	0
Representative Rebecca Dow	590	0
Tennessee Senate Republican Caucus	587	0
Shamelessly Corrupt Menendez	578	0
Seneca Anti-Wind Union	578	0
Rant Nation with Graham Allen	1731	0
Ray East for Sheriff	572	0
Andy Backus, Charleston's Next Mayor	571	0
New Lenox Professional Firefighters Local 5097	1259	0
Crystal Canney for Senate District 27 - Portland	569	0
Christie Cromeenes for Salinas City Council	569	0
Tony Evers	1246	0
Dean Phillips for Congress	1494	0
Sierra Club - Georgia Chapter	559	0
Stand For Salmon	556	0
Emily Randall for Senate	555	0
Informed Vallejo	552	0
Terry Johnson For City Council 2018	550	0
Not My Lawyer	1017	0
Michelle Davis-Younger for City Council	549	0
Toren For Colorado	545	0
Paige Ellis for City Council District 8	539	0
Cisneros for Congress	538	0
Brad Peacock for U.S. Senate	537	0
Progress Puerto Rico	536	0
Joel Abelove for District Attorney	927	0
Steve Dettelbach	1306	0
FrackFeed	535	0
Ben & Jerry's	1454	0
Crisp and Associates Military Law	533	0
Vote Yes Yes for Red Wing Schools - Invest in Our Future	526	0
Trey Hollingsworth	526	0
Maine Republican Party	523	0
Butch Hansen for Pensacola City Council District 6	522	0
Tom Basile for State Senate	519	0
Fred Akshar	518	0
Rob Arlett For US Senate	517	0
